motor_time_fraction,motor_angle_deg,linear_small,linear_large,candidate_small,candidate_large,linear_dsmall_dt,linear_dlarge_dt,candidate_dsmall_dt,candidate_dlarge_dt,reference_spline_small,reference_spline_large,reference_spline_dsmall_dt,reference_spline_dlarge_dt
5.440972222222222321e-01,1.958750000000000000e+02,7.902450243960792431e-01,6.692767680864621094e-02,5.626309562148912313e-01,6.076240432955671428e-03,-4.196748367243113620e+00,-6.541315322525567133e-01,-4.695978978630503953e+00,-4.812825922612635199e-01,8.455196887520917137e-01,4.831022267986424812e-02,-4.023636433430484161e+00,-1.027453587136460511e+00
5.444444444444445086e-01,1.960000000000000284e+02,7.887878201018974078e-01,6.670054780439181596e-02,5.610027765066585292e-01,5.910292935680105594e-03,-4.196748367243113620e+00,-6.541315322525567133e-01,-4.682331247081626735e+00,-4.745756128057887491e-01,8.441202999661561179e-01,4.795393890119287184e-02,-4.036829618891588645e+00,-1.024745264395660493e+00
5.447916666666666741e-01,1.961250000000000000e+02,7.873306158077160166e-01,6.647341880013749038e-02,5.593793406917140221e-01,5.746673604090569987e-03,-4.196748367243113620e+00,-6.541315322525567133e-01,-4.668654153292621345e+00,-4.678723579096927820e-01,8.427163441241577457e-01,4.759859104737753505e-02,-4.049942676350402060e+00,-1.022062659965122133e+00
5.451388888888889506e-01,1.962500000000000284e+02,7.858734115135340703e-01,6.624628979588309541e-02,5.577606589652792657e-01,5.585381144937296045e-03,-4.196748367243113620e+00,-6.541315322525567133e-01,-4.654947697263483342e+00,-4.611728275729730098e-01,8.413078490483199001e-01,4.724417018844959820e-02,-4.062975605806922630e+00,-1.019405773844844765e+00
5.454861111111111160e-01,1.963750000000000000e+02,7.844162072193526791e-01,6.601916079162878370e-02,5.561467415225775923e-01,5.426414264970523885e-03,-4.196748367243113620e+00,-6.541315322525567133e-01,-4.641211878994219830e+00,-4.544770217956334291e-01,8.398948425608656621e-01,4.689066739444032461e-02,-4.075928407261151243e+00,-1.016774606034831052e+00
5.458333333333333925e-01,1.965000000000000284e+02,7.829590029251708438e-01,6.579203178737437485e-02,5.545375985588298917e-01,5.269771670940410352e-03,-4.196748367243113620e+00,-6.541315322525567133e-01,-4.627446698484820153e+00,-4.477849405776685443e-01,8.384773524840180015e-01,4.653807373538043635e-02,-4.088801080713086122e+00,-1.014169156535076555e+00
5.461805555555555580e-01,1.966250000000000000e+02,7.815017986309894527e-01,6.556490278312006315e-02,5.529332402692592741e-01,5.115452069597199898e-03,-4.196748367243113620e+00,-6.541315322525567133e-01,-4.613652155735293192e+00,-4.410965839190826854e-01,8.370554066399997772e-01,4.618638028130127304e-02,-4.101593626162731709e+00,-1.011589425345583493e+00
5.465277777777778345e-01,1.967500000000000284e+02,7.800445943368076174e-01,6.533777377886565429e-02,5.513336768490876283e-01,4.963454167691119627e-03,-4.196748367243113620e+00,-6.541315322525567133e-01,-4.599828250745632729e+00,-4.344119518198725216e-01,8.356290328510345145e-01,4.583557810223404944e-02,-4.114306043610083563e+00,-1.009035412466351866e+00
5.468750000000000000e-01,1.968750000000000000e+02,7.785873900426261152e-01,6.511064477461134259e-02,5.497389184935379536e-01,4.813776671972407918e-03,-4.196748367243113620e+00,-6.541315322525567133e-01,-4.585974983515847647e+00,-4.277310442800427714e-01,8.341982589393457381e-01,4.548565826820990393e-02,-4.126938333055133690e+00,-1.006507117897381454e+00
5.472222222222222765e-01,1.970000000000000284e+02,7.771301857484442799e-01,6.488351577035694762e-02,5.481489753978314727e-01,4.666418289191159169e-03,-4.196748367243113620e+00,-6.541315322525567133e-01,-4.572092354045925511e+00,-4.210538612995878283e-01,8.327631127271545308e-01,4.513661184926003739e-02,-4.139490494497901629e+00,-1.004004541638672476e+00
