motor_time_fraction,motor_angle_deg,small_fraction_0_1,large_fraction_0_1,dsmall_dt,dlarge_dt
8.187499999999999778e-01,2.947500000000000000e+02,4.072603586804052905e-02,2.900161714884577635e-01,-1.308371412960093849e+00,1.623160456478836666e+00
8.194444444444445308e-01,2.950000000000000568e+02,3.982131029427994628e-02,2.911448742058815875e-01,-1.297212733598344991e+00,1.627540767168726088e+00
8.201388888888889728e-01,2.952500000000000568e+02,3.892438686103884271e-02,2.922766968861371661e-01,-1.285901364695563931e+00,1.632146190634828464e+00
8.208333333333334147e-01,2.955000000000000568e+02,3.803537135391237001e-02,2.934117963524265904e-01,-1.274438031797581861e+00,1.636978141156527178e+00
8.215277777777778567e-01,2.957500000000000000e+02,3.715436903597677670e-02,2.945503303871182532e-01,-1.262823514160294591e+00,1.642037966745744315e+00
8.222222222222222987e-01,2.960000000000000000e+02,3.628148461060852481e-02,2.956924576854993991e-01,-1.251058644400764530e+00,1.647326948483231135e+00
8.229166666666667407e-01,2.962500000000000000e+02,3.541682218455528136e-02,2.968383378090685976e-01,-1.239144308130986083e+00,1.652846299871811198e+00
8.236111111111111827e-01,2.965000000000000000e+02,3.456048523126622335e-02,2.979881311383865139e-01,-1.227081443574408182e+00,1.658597166206813300e+00
8.243055555555556246e-01,2.967500000000000000e+02,3.371257655449346607e-02,2.991419988254981899e-01,-1.214871041165342946e+00,1.664580623963924255e+00
8.250000000000000666e-01,2.970000000000000000e+02,3.287319825217938779e-02,3.003001027459325512e-01,-1.202514143131496738e+00,1.670797680204673785e+00
8.256944444444445086e-01,2.972500000000000000e+02,3.204245168063829530e-02,3.014626054502978492e-01,-1.190011843059724406e+00,1.677249271999763369e+00
8.263888888888889506e-01,2.975000000000000000e+02,3.122043741904648867e-02,3.026296701154799207e-01,-1.177365285445219456e+00,1.683936265870460636e+00
8.270833333333333925e-01,2.977500000000000000e+02,3.040725523424960344e-02,3.038014604954635822e-01,-1.164575665224258483e+00,1.690859457248252484e+00
8.277777777777778345e-01,2.980000000000000000e+02,2.960300404590184356e-02,3.049781408717810449e-01,-1.151644227290751443e+00,1.698019569952959884e+00
8.284722222222222765e-01,2.982500000000000000e+02,2.880778189194569891e-02,3.061598760036048361e-01,-1.138572265996760535e+00,1.705417255689516853e+00
8.291666666666667185e-01,2.985000000000000000e+02,2.802168589444332947e-02,3.073468310775007151e-01,-1.125361124637116017e+00,1.713053093563594365e+00
8.298611111111111605e-01,2.987500000000000000e+02,2.724481222577261608e-02,3.085391716568477438e-01,-1.112012194918432284e+00,1.720927589616260800e+00
8.305555555555556024e-01,2.990000000000000000e+02,2.647725607519640922e-02,3.097370636309433323e-01,-1.098526916412633225e+00,1.729041176377846156e+00
8.312500000000000444e-01,2.992500000000000000e+02,2.571911161581737909e-02,3.109406731638033050e-01,-1.084906775995265971e+00,1.737394212441215169e+00
8.319444444444444864e-01,2.995000000000000000e+02,2.497047197192693233e-02,3.121501666426765298e-01,-1.071153307268715382e+00,1.745986982054572589e+00
8.326388888888889284e-01,2.997500000000000000e+02,2.423142918676102556e-02,3.133657106262797143e-01,-1.057268089970641922e+00,1.754819694734009561e+00
8.333333333333333703e-01,3.000000000000000000e+02,2.350207419067172621e-02,3.145874717927696906e-01,-1.043252749367826526e+00,1.763892484895924762e+00
8.340277777777778123e-01,3.002500000000000000e+02,2.278249676972376320e-02,3.158156168874722836e-01,-1.029108955635555267e+00,1.773205411509471086e+00
8.347222222222222543e-01,3.005000000000000000e+02,2.207278553472754798e-02,3.170503126703714813e-01,-1.014838423222925945e+00,1.782758457769193505e+00
8.354166666666666963e-01,3.007500000000000000e+02,2.137302789071917133e-02,3.182917258633798374e-01,-1.000442910204214941e+00,1.792551530787987124e+00
8.361111111111111382e-01,3.010000000000000000e+02,2.068331000689273627e-02,3.195400230974050904e-01,-9.859242176165138316e-01,1.802584461310513086e+00
8.368055555555555802e-01,3.012500000000000000e+02,2.000371678699988665e-02,3.207953708592221065e-01,-9.712841887839730459e-01,1.812857003447206461e+00
8.375000000000000222e-01,3.015000000000000000e+02,1.933433184022185017e-02,3.220579354381687409e-01,-9.565247086288076739e-01,1.823368834428997776e+00
8.381944444444444642e-01,3.017500000000000000e+02,1.867523745252550396e-02,3.233278828726766641e-01,-9.416477029693849365e-01,1.834119554382875217e+00
8.388888888888889062e-01,3.020000000000000000e+02,1.802651455850973194e-02,3.246053788966573594e-01,-9.266551378055565280e-01,1.845108686128393627e+00
8.395833333333333481e-01,3.022500000000000000e+02,1.738824271375406447e-02,3.258905888857508981e-01,-9.115490185915909871e-01,1.856335674995228224e+00
8.402777777777777901e-01,3.025000000000000000e+02,1.676050006767556069e-02,3.271836778034548088e-01,-8.963313894969228146e-01,1.867799888661912266e+00
8.409722222222222321e-01,3.027500000000000000e+02,1.614336333690363778e-02,3.284848101471524728e-01,-8.810043326549312770e-01,1.879500617015799957e+00
8.416666666666666741e-01,3.030000000000000000e+02,1.553690777917973546e-02,3.297941498940471505e-01,-8.655699674001143817e-01,1.891437072034404032e+00
8.423611111111111160e-01,3.032500000000000000e+02,1.494120716779218441e-02,3.311118604470240090e-01,-8.500304494938540900e-01,1.903608387688134451e+00
8.430555555555555580e-01,3.035000000000000000e+02,1.435633376655160061e-02,3.324381045804492563e-01,-8.343879703390916225e-01,1.916013619864561424e+00
8.437500000000000000e-01,3.037500000000000000e+02,1.378235830531549660e-02,3.337730443859280860e-01,-8.186447561841284637e-01,1.928651746314257398e+00
8.444444444444444420e-01,3.040000000000000000e+02,1.321934995606912841e-02,3.351168412180294820e-01,-8.028030673159117780e-01,1.941521666618271968e+00
8.451388888888888840e-01,3.042500000000000000e+02,1.266737630957211896e-02,3.364696556399954797e-01,-7.868651972430538155e-01,1.954622202177324297e+00
8.458333333333333259e-01,3.045000000000000000e+02,1.212650335257272824e-02,3.378316473694540356e-01,-7.708334718688247822e-01,1.967952096222750136e+00
8.465277777777777679e-01,3.047500000000000000e+02,1.159679544560249242e-02,3.392029752241434437e-01,-7.547102486544973177e-01,1.981510013849253404e+00
8.472222222222222099e-01,3.050000000000000000e+02,1.107831530135401817e-02,3.405837970676693360e-01,-7.384979157732628474e-01,1.995294542069508070e+00
8.479166666666666519e-01,3.052500000000000000e+02,1.057112396364964964e-02,3.419742697553044830e-01,-7.221988912550717510e-01,2.009304189890644743e+00
8.486111111111110938e-01,3.055000000000000000e+02,1.007528078700706438e-02,3.433745490798537081e-01,-7.058156221226109528e-01,2.023537388412643079e+00
8.493055555555555358e-01,3.057500000000000000e+02,9.590843416807780936e-03,3.447847897175912446e-01,-6.893505835188179498e-01,2.037992490948667967e+00
8.499999999999999778e-01,3.060000000000000000e+02,9.117867770075211917e-03,3.462051451742885200e-01,-6.728062778261933996e-01,2.052667773167350163e+00
8.506944444444445308e-01,3.062500000000000568e+02,8.656408016864966873e-03,3.476357677313532957e-01,-6.561852337781561850e-01,2.067561433257040449e+00
8.513888888888889728e-01,3.065000000000000568e+02,8.206516562278056218e-03,3.490768083920841591e-01,-6.394900055628788271e-01,2.082671592112007808e+00
8.520833333333334147e-01,3.067500000000000568e+02,7.768244029096174792e-03,3.505284168280677903e-01,-6.227231719197588999e-01,2.097996293540621338e+00
8.527777777777778567e-01,3.070000000000000000e+02,7.341639241048020584e-03,3.519907413257241102e-01,-6.058873352289871894e-01,2.113533504495496818e+00
8.534722222222222987e-01,3.072500000000000000e+02,6.926749206711001888e-03,3.534639287330199053e-01,-5.889851205944162116e-01,2.129281115325538210e+00
8.541666666666667407e-01,3.075000000000000000e+02,6.523619104050232438e-03,3.549481244063678598e-01,-5.720191749200803644e-01,2.145236940049963348e+00
8.548611111111111827e-01,3.077500000000000000e+02,6.132292265602089926e-03,3.564434721577199872e-01,-5.549921659806877905e-01,2.161398716654157948e+00
8.555555555555556246e-01,3.080000000000000000e+02,5.752810164305712827e-03,3.579501142018741700e-01,-5.379067814864462171e-01,2.177764107407443195e+00
8.562500000000000666e-01,3.082500000000000000e+02,5.385212399984654237e-03,3.594681911040130129e-01,-5.207657281424038498e-01,2.194330699202613033e+00
8.569444444444445086e-01,3.085000000000000000e+02,5.029536686484143218e-03,3.609978417274815055e-01,-5.035717307028132472e-01,2.211096003917293107e+00
8.576388888888889506e-01,3.087500000000000000e+02,4.685818839466970344e-03,3.625392031818240324e-01,-4.863275310207037516e-01,2.228057458796965484e+00
8.583333333333333925e-01,3.090000000000000000e+02,4.354092764870228296e-03,3.640924107710981072e-01,-4.690358870930171342e-01,2.245212426859711119e+00
8.590277777777778345e-01,3.092500000000000000e+02,4.034390448027088197e-03,3.656575979424728229e-01,-4.516995721016687226e-01,2.262558197322489750e+00
8.597222222222222765e-01,3.095000000000000000e+02,3.726741943456333885e-03,3.672348962351326684e-01,-4.343213734508268309e-01,2.280091986048999875e+00
8.604166666666667185e-01,3.097500000000000000e+02,3.431175365319706627e-03,3.688244352294985373e-01,-4.169040918007639318e-01,2.297810936018944261e+00
8.611111111111111605e-01,3.100000000000000000e+02,3.147716878554522157e-03,3.704263424967851881e-01,-3.994505400985220445e-01,2.315712117818667259e+00
8.618055555555556024e-01,3.102500000000000000e+02,2.876390690677178147e-03,3.720407435489026526e-01,-3.819635426058735073e-01,2.333792530153090183e+00
8.625000000000000444e-01,3.105000000000000000e+02,2.617219044264050814e-03,3.736677617887227409e-01,-3.644459339247684837e-01,2.352049100378772906e+00
8.631944444444444864e-01,3.107500000000000000e+02,2.370222210110894349e-03,3.753075184607235215e-01,-3.469005580206496187e-01,2.370478685058113655e+00
8.638888888888889284e-01,3.110000000000000000e+02,2.135418481068625078e-03,3.769601326020248777e-01,-3.293302672439706869e-01,2.389078070534442766e+00
8.645833333333333703e-01,3.112500000000000000e+02,1.912824166561743382e-03,3.786257209938310719e-01,-3.117379213502500246e-01,2.407843973528037029e+00
8.652777777777778123e-01,3.115000000000000000e+02,1.702453587785658726e-03,3.803043981132931961e-01,-2.941263865189735482e-01,2.426773041752793514e+00
8.659722222222222543e-01,3.117500000000000000e+02,1.504319073587261557e-03,3.819962760858099937e-01,-2.764985343716651056e-01,2.445861854553576187e+00
8.666666666666666963e-01,3.120000000000000000e+02,1.318430957026617018e-03,3.837014646377761018e-01,-2.588572409894819293e-01,2.465106923563962216e+00
8.673611111111111382e-01,3.122500000000000000e+02,1.144797572620389172e-03,3.854200710497928117e-01,-2.412053859306978465e-01,2.484504693384382179e+00
8.680555555555555802e-01,3.125000000000000000e+02,9.834252542695175615e-04,3.871522001103612776e-01,-2.235458512482678961e-01,2.504051542280384623e+00
