motor_time_fraction,motor_angle_deg,small_linear,large_linear,small_6h,large_6h,delta_small,delta_large,dsmall6h_dt,dlarge6h_dt
1.791666666666666685e-01,6.450000000000000000e+01,4.349392666223992898e-01,6.735229198186939437e-01,4.668838436599364039e-01,7.347491446116274361e-01,3.194457703753711408e-02,6.122622479293349240e-02,2.329705922151458442e+00,-2.449100876437956931e+00
1.795833333333333448e-01,6.465000000000000568e+01,4.356868196394996229e-01,6.727636707950164219e-01,4.678530551415333028e-01,7.337299557214954637e-01,3.216623550203367987e-02,6.096628492647904185e-02,2.322506181149931681e+00,-2.443004400638414175e+00
1.800000000000000211e-01,6.480000000000001137e+01,4.364343726566000115e-01,6.720044217713390111e-01,4.688192630362486013e-01,7.327133087185639937e-01,3.238489037964858985e-02,6.070888694722498258e-02,2.315288862729641739e+00,-2.436899950793979031e+00
1.804166666666666696e-01,6.495000000000000284e+01,4.371819256737002890e-01,6.712451727476616004e-01,4.697824602172366304e-01,7.316992067597697380e-01,3.260053454353634139e-02,6.045403401210813765e-02,2.308054913024024213e+00,-2.430788320339651865e+00
1.808333333333333459e-01,6.510000000000000853e+01,4.379294786908006221e-01,6.704859237239841896e-01,4.707426399520582838e-01,7.306876526731508337e-01,3.281316126125766175e-02,6.020172894916664408e-02,2.300805279027789307e+00,-2.424670294548070704e+00
1.812500000000000222e-01,6.525000000000001421e+01,4.386770317079009551e-01,6.697266747003065568e-01,4.716997959030098109e-01,7.296786489612538951e-01,3.302276419510885574e-02,5.995197426094733828e-02,2.293540908450520277e+00,-2.418546650507721552e+00
1.816666666666666707e-01,6.540000000000000568e+01,4.394245847250012882e-01,6.689674256766291460e-01,4.726539221273896585e-01,7.286721978045460624e-01,3.322933740238837030e-02,5.970477212791691635e-02,2.286262749570285635e+00,-2.412418157103025429e+00
1.820833333333333470e-01,6.555000000000001137e+01,4.401721377421016212e-01,6.682081766529517353e-01,4.736050130777055833e-01,7.276683010648385963e-01,3.343287533560396207e-02,5.946012441188686104e-02,2.278971751087303321e+00,-2.406285574996321674e+00
1.825000000000000233e-01,6.570000000000000284e+01,4.409196907592019543e-01,6.674489276292743245e-01,4.745530636018193138e-01,7.266669602887161350e-01,3.363337284261735949e-02,5.921803265944181049e-02,2.271668861977684362e+00,-2.400149656611712867e+00
1.829166666666666718e-01,6.585000000000000853e+01,4.416672437763022319e-01,6.666896786055969137e-01,4.754980689430313712e-01,7.256681767109718351e-01,3.383082516672913931e-02,5.897849810537492132e-02,2.264355031347279557e+00,-2.394011146120775368e+00
1.833333333333333481e-01,6.600000000000000000e+01,4.424147967934026204e-01,6.659304295819193920e-01,4.764400247401051058e-01,7.246719512580492850e-01,3.402522794670248540e-02,5.874152167612989306e-02,2.257031208285658508e+00,-2.387870779430102619e+00
1.837500000000000244e-01,6.615000000000000568e+01,4.431623498105029535e-01,6.651711805582418702e-01,4.773789270272286167e-01,7.236782845514874163e-01,3.421657721672566321e-02,5.850710399324554611e-02,2.249698341720256067e+00,-2.381729284170705174e+00
1.841666666666666730e-01,6.629999999999999716e+01,4.439099028276032310e-01,6.644119315345644594e-01,4.783147722339178287e-01,7.226871769113718535e-01,3.440486940631459767e-02,5.827524537680739414e-02,2.242357380270701306e+00,-2.375587379689205747e+00
1.845833333333333492e-01,6.645000000000000284e+01,4.446574558447035641e-01,6.636526825108870487e-01,4.792475571848572313e-01,7.216986283597869312e-01,3.459010134015366722e-02,5.804594584889988251e-02,2.235009272103376521e+00,-2.369445777040866119e+00
1.850000000000000255e-01,6.660000000000000853e+01,4.454050088618038972e-01,6.628934334872095269e-01,4.801772790996811091e-01,7.207126386242725946e-01,3.477227023787721194e-02,5.781920513706306775e-02,2.227654964786207614e+00,-2.363305178984395738e+00
1.854166666666666741e-01,6.675000000000000000e+01,4.461525618789042302e-01,6.621341844635321161e-01,4.811039355926936545e-01,7.197292071412820791e-01,3.495137371378942426e-02,5.759502267774996298e-02,2.220295405143742684e+00,-2.357166279978548662e+00
1.858333333333333504e-01,6.690000000000000568e+01,4.469001148960045633e-01,6.613749354398545943e-01,4.820275246725295171e-01,7.187483330596398101e-01,3.512740977652495378e-02,5.737339761978521580e-02,2.212931539112520607e+00,-2.351029766180483094e+00
1.862499999999999989e-01,6.704999999999999716e+01,4.476476679131048408e-01,6.606156864161771836e-01,4.829480447417532907e-01,7.177700152440010806e-01,3.530037682864844983e-02,5.715432882782389701e-02,2.205564311596783789e+00,-2.344896315445879065e+00
1.866666666666666752e-01,6.720000000000000284e+01,4.483952209302051739e-01,6.598564373924997728e-01,4.838654945963999920e-01,7.167942522783105064e-01,3.547027366619481814e-02,5.693781488581073358e-02,2.198194666324532864e+00,-2.338766597330789843e+00
1.870833333333333515e-01,6.735000000000000853e+01,4.491427739473055625e-01,6.590971883688222510e-01,4.847798734254544217e-01,7.158210424692594831e-01,3.563709947814885926e-02,5.672385410043723208e-02,2.190823545703982855e+00,-2.332641273095218626e+00
1.875000000000000000e-01,6.750000000000000000e+01,4.498903269644058400e-01,6.583379393451448403e-01,4.856911808102714612e-01,7.148503838497416440e-01,3.580085384586562114e-02,5.651244450459680380e-02,2.183451890680417673e+00,-2.326520995708408535e+00
1.879166666666666763e-01,6.765000000000000568e+01,4.506378799815061731e-01,6.575786903214673185e-01,4.865994167239373613e-01,7.138822741823065421e-01,3.596153674243118825e-02,5.630358386083922362e-02,2.176080640593495819e+00,-2.320406409855813479e+00
1.883333333333333526e-01,6.780000000000001137e+01,4.513854329986065061e-01,6.568194412977899077e-01,4.875045815305705244e-01,7.129167109626090015e-01,3.611914853196401820e-02,5.609726966481909383e-02,2.168710733035017046e+00,-2.314298151947753013e+00
1.887500000000000011e-01,6.795000000000000284e+01,4.521329860157068392e-01,6.560601922741124969e-01,4.884066759845634986e-01,7.119536914228550284e-01,3.627368996885665942e-02,5.589349914874253145e-02,2.161343103707192181e+00,-2.308196850129730304e+00
1.891666666666666774e-01,6.810000000000000853e+01,4.528805390328071723e-01,6.553009432504349752e-01,4.893057012297672981e-01,7.109932125352428356e-01,3.642516219696012580e-02,5.569226928480786043e-02,2.153978686281423194e+00,-2.302103124294377690e+00
1.895833333333333537e-01,6.825000000000001421e+01,4.536280920499075053e-01,6.545416942267574534e-01,4.902016587986146035e-01,7.100352710153997604e-01,3.657356674870709812e-02,5.549357678864230703e-02,2.146618412257644160e+00,-2.296017586095051133e+00
1.900000000000000022e-01,6.840000000000000568e+01,4.543756450670077829e-01,6.537824452030800426e-01,4.910945506111864534e-01,7.090798633258111883e-01,3.671890554417867047e-02,5.529741812273114565e-02,2.139263210824228878e+00,-2.289940838961010972e+00
1.904166666666666785e-01,6.855000000000001137e+01,4.551231980841081715e-01,6.530231961794026319e-01,4.919843789742199824e-01,7.081269856792434814e-01,3.686118089011181098e-02,5.510378949984084951e-02,2.131914008718511777e+00,-2.283873478114205824e+00
1.908333333333333548e-01,6.870000000000000284e+01,4.558707511012085045e-01,6.522639471557252211e-01,4.928711465800583169e-01,7.071766340421613561e-01,3.700039547884981239e-02,5.491268688643613505e-02,2.124571730087919885e+00,-2.277816090587632569e+00
1.912500000000000033e-01,6.884999999999999432e+01,4.566183041183087821e-01,6.515046981320478103e-01,4.937548565055419614e-01,7.062288041381347137e-01,3.713655238723317931e-02,5.472410600608690334e-02,2.117237296351783815e+00,-2.271769255245238650e+00
1.916666666666666796e-01,6.900000000000000000e+01,4.573658571354091151e-01,6.507454491083701775e-01,4.946355122108443414e-01,7.052834914512385867e-01,3.726965507543522627e-02,5.453804234286840913e-02,2.109911626063807333e+00,-2.265733542803373357e+00
1.920833333333333559e-01,6.915000000000000568e+01,4.581134101525095037e-01,6.499862000846927668e-01,4.955131175382485043e-01,7.043406912294427613e-01,3.739970738573900055e-02,5.435449114474999455e-02,2.102595634775267452e+00,-2.259709515853749906e+00
