motor_time_fraction,motor_angle_deg,source16_small,source16_large,mobile7_small,mobile7_large,source16_dsmall_dt,source16_dlarge_dt,mobile7_dsmall_dt,mobile7_dlarge_dt
7.934027777777777901e-01,2.856250000000000000e+02,7.723306843867097649e-02,2.529305385368581516e-01,4.631650241711633524e-03,3.214061461867164793e-01,-1.811959725079318906e+00,1.784019089793053459e+00,-4.695521171283359441e-01,9.488637426839940936e-01
7.937500000000000666e-01,2.857500000000000000e+02,7.660436285351811259e-02,2.535499212046644635e-01,4.470039137718755974e-03,3.217367204785161472e-01,-1.809371508245531057e+00,1.783624455768206829e+00,-4.613239624426534458e-01,9.552736593042117086e-01
7.940972222222222321e-01,2.858750000000000000e+02,7.597656943096919857e-02,2.541691661998897178e-01,4.311289072951462846e-03,3.220695511454153004e-01,-1.806705668482341931e+00,1.783226095727244109e+00,-4.530725311896229845e-01,9.618604632576870372e-01
7.944444444444445086e-01,2.860000000000000000e+02,7.534971512342973632e-02,2.547882722287786450e-01,4.155408129550914459e-03,3.224046996066271542e-01,-1.803962205789749973e+00,1.782824009670164855e+00,-4.447978233692378436e-01,9.686241545444258527e-01
7.947916666666666741e-01,2.861250000000000000e+02,7.472382688330617140e-02,2.554072379975753648e-01,4.002404389658887826e-03,3.227422272813643134e-01,-1.801141120167757403e+00,1.782418197596969067e+00,-4.364998389815047952e-01,9.755647331644236031e-01
7.951388888888889506e-01,2.862500000000000000e+02,7.409893166300421385e-02,2.560260622125246077e-01,3.852285935416541966e-03,3.230821955888399932e-01,-1.798242411616361780e+00,1.782008659507656523e+00,-4.281785780264170116e-01,9.826821991176852844e-01
7.954861111111111160e-01,2.863750000000000000e+02,7.347505641492996231e-02,2.566447435798706600e-01,3.705060848965388478e-03,3.234246659482671316e-01,-1.795266080135564435e+00,1.781595395402227222e+00,-4.198340405039779899e-01,9.899765524042071219e-01
7.958333333333333925e-01,2.865000000000000000e+02,7.285222809148968193e-02,2.572632808058578635e-01,3.560737212446943734e-03,3.237696997788584441e-01,-1.792212125725365146e+00,1.781178405280681609e+00,-4.114662264141875636e-01,9.974477930239906698e-01
7.961805555555555580e-01,2.866250000000000000e+02,7.223047364508944357e-02,2.578816725967302825e-01,3.419323108002721504e-03,3.241173584998270352e-01,-1.789080548385765024e+00,1.780757689143019462e+00,-4.030751357570493965e-01,1.005095920977030932e+00
7.965277777777778345e-01,2.867500000000000000e+02,7.160982002813501279e-02,2.584999176587329250e-01,3.280826617773963203e-03,3.244677035303856760e-01,-1.785871348116761848e+00,1.780333246989240781e+00,-3.946607685325563830e-01,1.012920936263335125e+00
