motor_time_fraction,motor_angle_deg,small_fraction_0_1,large_fraction_0_1,dsmall_dt,dlarge_dt
5.038194444444444864e-01,1.813750000000000284e+02,9.648717554157888454e-01,1.011284554050641410e-01,-2.061915098450924688e+00,-1.371070687135767852e+00
5.041666666666666519e-01,1.815000000000000000e+02,9.641521309156612096e-01,1.006527825589498548e-01,-2.083119518688189675e+00,-1.368807350763366237e+00
5.045138888888889284e-01,1.816250000000000000e+02,9.634251464301037959e-01,1.001778930567202713e-01,-2.104308463019569864e+00,-1.366558599402251550e+00
5.048611111111110938e-01,1.817500000000000000e+02,9.626908074906779245e-01,9.970378186238693097e-02,-2.125481020998941428e+00,-1.364324269833566694e+00
5.052083333333333703e-01,1.818750000000000000e+02,9.619491199455563191e-01,9.923044399714475716e-02,-2.146636279386312296e+00,-1.362104195898944825e+00
5.055555555555555358e-01,1.820000000000000000e+02,9.612000899604872250e-01,9.875787454039079705e-02,-2.167773322212168896e+00,-1.359898208520441631e+00
5.059027777777778123e-01,1.821250000000000000e+02,9.604437240197268855e-01,9.828606863073295619e-02,-2.188891230842878510e+00,-1.357706135720720297e+00
5.062499999999999778e-01,1.822500000000000000e+02,9.596800289269554751e-01,9.781502146699477818e-02,-2.209989084046932728e+00,-1.355527802643522906e+00
5.065972222222222543e-01,1.823750000000000000e+02,9.589090118061650569e-01,9.734472830920959385e-02,-2.231065958062250498e+00,-1.353363031574360553e+00
5.069444444444444198e-01,1.825000000000000000e+02,9.581306801025295528e-01,9.687518447961096513e-02,-2.252120926664282763e+00,-1.351211641961493015e+00
5.072916666666666963e-01,1.826250000000000000e+02,9.573450415832448490e-01,9.640638536361331723e-02,-2.273153061235161587e+00,-1.349073450437137556e+00
5.076388888888888618e-01,1.827500000000000000e+02,9.565521043383495847e-01,9.593832641078678392e-02,-2.294161430833690840e+00,-1.346948270838942419e+00
5.079861111111111382e-01,1.828750000000000000e+02,9.557518767815192939e-01,9.547100313582218556e-02,-2.315145102266337851e+00,-1.344835914231696350e+00
5.083333333333333037e-01,1.830000000000000000e+02,9.549443676508347911e-01,9.500441111949205208e-02,-2.336103140159040414e+00,-1.342736188929293029e+00
5.086805555555555802e-01,1.831250000000000000e+02,9.541295860095283521e-01,9.453854600960036325e-02,-2.357034607030031204e+00,-1.340648900516929753e+00
5.090277777777777457e-01,1.832500000000000000e+02,9.533075412467022502e-01,9.407340352192729294e-02,-2.377938563363467317e+00,-1.338573851873551268e+00
5.093750000000000222e-01,1.833750000000000000e+02,9.524782430780200926e-01,9.360897944116343405e-02,-2.398814067684060358e+00,-1.336510843194535392e+00
5.097222222222221877e-01,1.835000000000000000e+02,9.516417015463790596e-01,9.314526962183998504e-02,-2.419660176632465465e+00,-1.334459672014602694e+00
5.100694444444444642e-01,1.836250000000000000e+02,9.507979270225440649e-01,9.268226998924561366e-02,-2.440475945041717054e+00,-1.332420133230973525e+00
5.104166666666667407e-01,1.837500000000000284e+02,9.499469302057688136e-01,9.221997654034071179e-02,-2.461260426014386216e+00,-1.330392019126745318e+00
5.107638888888889062e-01,1.838750000000000000e+02,9.490887221243782257e-01,9.175838534466015939e-02,-2.482012671000713766e+00,-1.328375119394504589e+00
5.111111111111111827e-01,1.840000000000000284e+02,9.482233141363306528e-01,9.129749254520777568e-02,-2.502731729877581301e+00,-1.326369221160160095e+00
5.114583333333333481e-01,1.841250000000000000e+02,9.473507179297501191e-01,9.083729435934466412e-02,-2.523416651028291380e+00,-1.324374109007008693e+00
5.118055555555556246e-01,1.842500000000000284e+02,9.464709455234304736e-01,9.037778707966705183e-02,-2.544066481423289616e+00,-1.322389565000011702e+00
5.121527777777777901e-01,1.843750000000000000e+02,9.455840092673120090e-01,8.991896707487705143e-02,-2.564680266701609757e+00,-1.320415368710302406e+00
5.125000000000000666e-01,1.845000000000000284e+02,9.446899218429301026e-01,8.946083079064359733e-02,-2.585257051253266436e+00,-1.318451297239899844e+00
5.128472222222222321e-01,1.846250000000000000e+02,9.437886962638338817e-01,8.900337475045606850e-02,-2.605795878302366031e+00,-1.316497125246644639e+00
5.131944444444445086e-01,1.847500000000000284e+02,9.428803458759754674e-01,8.854659555646819669e-02,-2.626295789991137664e+00,-1.314552624969349326e+00
5.135416666666666741e-01,1.848750000000000000e+02,9.419648843580742392e-01,8.809048989033393950e-02,-2.646755827464644995e+00,-1.312617566253144519e+00
5.138888888888889506e-01,1.850000000000000284e+02,9.410423257219437954e-01,8.763505451403359736e-02,-2.667175030956431936e+00,-1.310691716575057120e+00
5.142361111111111160e-01,1.851250000000000000e+02,9.401126843127975974e-01,8.718028627069263070e-02,-2.687552439874816734e+00,-1.308774841069770822e+00
5.145833333333333925e-01,1.852500000000000284e+02,9.391759748095170890e-01,8.672618208538929174e-02,-2.707887092890080893e+00,-1.306866702555601556e+00
5.149305555555555580e-01,1.853750000000000000e+02,9.382322122248955010e-01,8.627273896595548386e-02,-2.728178028022325563e+00,-1.304967061560680319e+00
5.152777777777778345e-01,1.855000000000000284e+02,9.372814119058453519e-01,8.581995400376642158e-02,-2.748424282730174806e+00,-1.303075676349318091e+00
5.156250000000000000e-01,1.856250000000000000e+02,9.363235895335810799e-01,8.536782437452258843e-02,-2.768624894000121461e+00,-1.301192302948584789e+00
5.159722222222222765e-01,1.857500000000000284e+02,9.353587611237645927e-01,8.491634733902196641e-02,-2.788778898436715004e+00,-1.299316695175067649e+00
5.163194444444444420e-01,1.858750000000000000e+02,9.343869430266243947e-01,8.446552024392280089e-02,-2.808885332353361353e+00,-1.297448604661841198e+00
5.166666666666667185e-01,1.860000000000000284e+02,9.334081519270381877e-01,8.401534052249665097e-02,-2.828943231863955798e+00,-1.295587780885598894e+00
5.170138888888888840e-01,1.861250000000000000e+02,9.324224048445889368e-01,8.356580569537329362e-02,-2.848951632975073700e+00,-1.293733971194012788e+00
5.173611111111111605e-01,1.862500000000000284e+02,9.314297191335841886e-01,8.311691337127398438e-02,-2.868909571678991188e+00,-1.291886920833230645e+00
5.177083333333333259e-01,1.863750000000000000e+02,9.304301124830458569e-01,8.266866124773789015e-02,-2.888816084047256094e+00,-1.290046372975600875e+00
5.180555555555556024e-01,1.865000000000000284e+02,9.294236029166649260e-01,8.222104711183528258e-02,-2.908670206325035146e+00,-1.288212068747555561e+00
5.184027777777777679e-01,1.866250000000000000e+02,9.284102087927261771e-01,8.177406884087556893e-02,-2.928470975025985634e+00,-1.286383747257670240e+00
5.187500000000000444e-01,1.867500000000000284e+02,9.273899488039981653e-01,8.132772440310051532e-02,-2.948217427027906012e+00,-1.284561145624919520e+00
5.190972222222222099e-01,1.868750000000000000e+02,9.263628419775887801e-01,8.088201185837216867e-02,-2.967908599668875436e+00,-1.282743999007086799e+00
5.194444444444444864e-01,1.870000000000000284e+02,9.253289076747703845e-01,8.043692935884746986e-02,-2.987543530844111395e+00,-1.280932040629358948e+00
5.197916666666666519e-01,1.871250000000000000e+02,9.242881655907689842e-01,7.999247514964541450e-02,-3.007121259103341160e+00,-1.279125001813091744e+00
5.201388888888889284e-01,1.872500000000000000e+02,9.232406357545185349e-01,7.954864756950165428e-02,-3.026640823748834919e+00,-1.277322612004737623e+00
5.204861111111110938e-01,1.873750000000000000e+02,9.221863385283846082e-01,7.910544505141643701e-02,-3.046101264933925190e+00,-1.275524598804945953e+00
5.208333333333333703e-01,1.875000000000000000e+02,9.211252946078503090e-01,7.866286612328841910e-02,-3.065501623762166616e+00,-1.273730687997818523e+00
5.211805555555555358e-01,1.876250000000000000e+02,9.200575250211704414e-01,7.822090940854201091e-02,-3.084840942386948281e+00,-1.271940603580342888e+00
5.215277777777778123e-01,1.877500000000000000e+02,9.189830511289871495e-01,7.777957362674114972e-02,-3.104118264111736192e+00,-1.270154067791969155e+00
5.218749999999999778e-01,1.878750000000000000e+02,9.179018946239158039e-01,7.733885759419607819e-02,-3.123332633490707888e+00,-1.268370801144356630e+00
5.222222222222222543e-01,1.880000000000000000e+02,9.168140775300914758e-01,7.689876022455645332e-02,-3.142483096429996792e+00,-1.266590522451263023e+00
5.225694444444444198e-01,1.881250000000000000e+02,9.157196222026831034e-01,7.645928052939712782e-02,-3.161568700289322464e+00,-1.264812948858611286e+00
5.229166666666666963e-01,1.882500000000000000e+02,9.146185513273697998e-01,7.602041761879095583e-02,-3.180588493984170650e+00,-1.263037795874674574e+00
5.232638888888888618e-01,1.883750000000000000e+02,9.135108879197836318e-01,7.558217070187286946e-02,-3.199541528088343689e+00,-1.261264777400441295e+00
5.236111111111111382e-01,1.885000000000000000e+02,9.123966553249146516e-01,7.514453908739178456e-02,-3.218426854937024739e+00,-1.259493605760112045e+00
5.239583333333333037e-01,1.886250000000000000e+02,9.112758772164848420e-01,7.470752218425440183e-02,-3.237243528730175068e+00,-1.257723991731743762e+00
5.243055555555555802e-01,1.887500000000000000e+02,9.101485775962773195e-01,7.427111950205446400e-02,-3.255990605636418511e+00,-1.255955644578035768e+00
5.246527777777777457e-01,1.888750000000000000e+02,9.090147807934407798e-01,7.383533065159582354e-02,-3.274667143897229238e+00,-1.254188272077265021e+00
5.250000000000000222e-01,1.890000000000000000e+02,9.078745114637452041e-01,7.340015534540071662e-02,-3.293272203931576936e+00,-1.252421580554351932e+00
