motor_time_fraction,motor_angle_deg,source16_aligned_small,source16_aligned_large,power_sigmoid_small,power_sigmoid_large,source16_aligned_dsmall_dt,source16_aligned_dlarge_dt,power_sigmoid_dsmall_dt,power_sigmoid_dlarge_dt
4.562500000000000444e-01,1.642500000000000284e+02,9.998953770523397733e-01,1.371704114248221140e-01,9.962088132359885329e-01,3.687317068144035925e-02,-1.633521877800007960e-01,-1.954649512200644201e+00,-3.363315000662628895e-01,-9.403375826115477620e-01
4.565972222222222654e-01,1.643750000000000284e+02,9.998308680098657586e-01,1.364920835107576169e-01,9.960910086380666550e-01,3.654757756702819993e-02,-2.082825117211837551e-01,-1.952514062060702660e+00,-3.422282659402449689e-01,-9.350810439977339517e-01
4.569444444444444864e-01,1.645000000000000284e+02,9.997506929366646311e-01,1.358145025003006934e-01,9.959711510466184858e-01,3.622380725618046249e-02,-2.535885247679509624e-01,-1.950347347423462274e+00,-3.481567523490038396e-01,-9.298382356286221118e-01
4.572916666666667074e-01,1.646250000000000284e+02,9.996547213851304514e-01,1.351376792491787160e-01,9.958492294375673737e-01,3.590185497985998175e-02,-2.992702269203575405e-01,-1.948149368288920158e+00,-3.541170169959254044e-01,-9.246091666091085237e-01
4.576388888888889284e-01,1.647500000000000000e+02,9.995428229076569471e-01,1.344616246131203618e-01,9.957252327667074354e-01,3.558171596593073804e-02,-3.453276181783757059e-01,-1.945920124657077865e+00,-3.601091181154371657e-01,-9.193938456807407844e-01
4.579861111111111494e-01,1.648750000000000000e+02,9.994148670566379566e-01,1.337863494478538640e-01,9.955991499695265867e-01,3.526338543928497771e-02,-3.917606985420057919e-01,-1.943659616527935841e+00,-3.661331144291057882e-01,-9.141922812243508112e-01
4.583333333333333703e-01,1.650000000000000000e+02,9.992707233844674297e-01,1.331118646091074276e-01,9.954709699610451157e-01,3.494685862196633686e-02,-4.385694680112476873e-01,-1.941367843901492973e+00,-3.721890651035861808e-01,-9.090044812626683068e-01
4.586805555555555913e-01,1.651250000000000000e+02,9.991102614435392049e-01,1.324381809526097020e-01,9.953406816356676901e-01,3.463213073329540759e-02,-4.857539265860724709e-01,-1.939044806777750818e+00,-3.782770297102787116e-01,-9.038304534629377773e-01
4.590277777777778123e-01,1.652500000000000000e+02,9.989333507862471206e-01,1.317653093340880321e-01,9.952082738670496864e-01,3.431919698999130741e-02,-5.333140742665375411e-01,-1.936690505156707376e+00,-3.843970681865778172e-01,-8.986702051395195623e-01
4.593750000000000333e-01,1.653750000000000000e+02,9.987398609649854597e-01,1.310932606092711783e-01,9.950737355079770641e-01,3.400805260629424787e-02,-5.812499110526145873e-01,-1.934304939038363980e+00,-3.905492407985934888e-01,-8.935237432565206195e-01
4.597222222222222543e-01,1.655000000000000000e+02,9.985296615321475056e-01,1.304220456338877066e-01,9.949370553902582293e-01,3.369869279408765905e-02,-6.295614369442736891e-01,-1.931888108422721517e+00,-3.967336081052670882e-01,-8.883910744303935569e-01
4.600694444444444753e-01,1.656250000000000000e+02,9.983026220401276518e-01,1.297516752636650450e-01,9.947982223246281119e-01,3.339111276301631737e-02,-6.782486519415740212e-01,-1.929440013309777102e+00,-4.029502309237882329e-01,-8.832722049325428815e-01
4.604166666666666963e-01,1.657500000000000000e+02,9.980586120413192930e-01,1.290821603543317875e-01,9.946572251006644549e-01,3.308530772060791492e-02,-7.273115560444861627e-01,-1.926960653699532955e+00,-4.091991702961998434e-01,-8.781671406919339118e-01
4.607638888888889173e-01,1.658750000000000000e+02,9.977975010881168227e-01,1.284135117616161115e-01,9.945140524867159826e-01,3.278127287239029908e-02,-7.767501492530202167e-01,-1.924450029591988187e+00,-4.154804874571390583e-01,-8.730758872977035789e-01
4.611111111111111382e-01,1.660000000000000000e+02,9.975191587329136356e-01,1.277457403412464443e-01,9.943686932298401171e-01,3.247900342200893409e-02,-8.265644315671558662e-01,-1.921908140987143243e+00,-4.217942438026495156e-01,-8.679984500017409177e-01
4.614583333333333592e-01,1.661250000000000000e+02,9.972234545281043472e-01,1.270788569489513242e-01,9.942211360557526856e-01,3.217849457134436264e-02,-8.767544029868727939e-01,-1.919334987884999011e+00,-4.281405008599502571e-01,-8.629348337213110787e-01
4.618055555555555802e-01,1.662500000000000000e+02,9.969102580260819080e-01,1.264128724404581794e-01,9.940713696687870637e-01,3.187974152062689193e-02,-9.273200635122319513e-01,-1.916730570285553714e+00,-4.345193202581559833e-01,-8.578850430416333772e-01
4.621527777777778012e-01,1.663750000000000000e+02,9.965794387792409337e-01,1.257477976714955759e-01,9.939193827518647550e-01,3.158273946855294501e-02,-9.782614131432026960e-01,-1.914094888188807797e+00,-4.409307636998379687e-01,-8.528490822184857656e-01
4.625000000000000222e-01,1.665000000000000000e+02,9.962308663399750408e-01,1.250836434977922185e-01,9.937651639664734082e-01,3.128748361239697129e-02,-1.029578451879753720e+00,-1.911427941594763480e+00,-4.473748929334245283e-01,-8.478269551807871007e-01
4.628472222222222432e-01,1.666250000000000000e+02,9.958644102606779569e-01,1.244204207750755353e-01,9.936087019526562703e-01,3.099396914812635462e-02,-1.081271179721948528e+00,-1.908729730503417210e+00,-4.538517697263277362e-01,-8.428186655331932897e-01
4.631944444444444642e-01,1.667500000000000000e+02,9.954799400937437426e-01,1.237581403590740786e-01,9.934499853290105209e-01,3.070219127051243904e-02,-1.133339596669754368e+00,-1.906000254914770542e+00,-4.603614558387946754e-01,-8.378242165586863299e-01
4.635416666666666852e-01,1.668750000000000000e+02,9.950773253915663474e-01,1.230968131055161369e-01,9.932890026926931570e-01,3.041214517324208888e-02,-1.185783702723172350e+00,-1.903239514828823920e+00,-4.669040129984417531e-01,-8.328436112211422548e-01
4.638888888888889062e-01,1.670000000000000000e+02,9.946564357065394990e-01,1.224364498701299708e-01,9.931257426194375348e-01,3.012382604902841612e-02,-1.238603497882201587e+00,-1.900447510245576677e+00,-4.734795028753805424e-01,-8.278768521679296111e-01
4.642361111111111271e-01,1.671250000000000000e+02,9.942171405910573689e-01,1.217770615086441049e-01,9.929601936635772397e-01,2.983722908971941923e-02,-1.291798982146810548e+00,-1.897624241165031256e+00,-4.800879870579538578e-01,-8.229239417324768491e-01
4.645833333333333481e-01,1.672500000000000000e+02,9.937593095975134627e-01,1.211186588767860645e-01,9.927923443580788376e-01,2.955234948640761070e-02,-1.345370155517063626e+00,-1.894769707587183660e+00,-4.867295270290132869e-01,-8.179848819368485957e-01
4.649305555555555691e-01,1.673750000000000000e+02,9.932828122783016189e-01,1.204612528302844987e-01,9.926221832145817325e-01,2.926918242953613011e-02,-1.399317017992928180e+00,-1.891883909512035666e+00,-4.934041841427104225e-01,-8.130596744943202614e-01
4.652777777777777901e-01,1.675000000000000000e+02,9.927875181858165643e-01,1.198048542248679182e-01,9.924496987234482370e-01,2.898772310900754254e-02,-1.453639569574371571e+00,-1.888966846939589495e+00,-5.001120196017740938e-01,-8.081483208119428774e-01
