motor_time_fraction,motor_angle_deg,source_small,source_large,fit_small,fit_large,source_dsmall_dt,source_dlarge_dt,fit_dsmall_dt,fit_dlarge_dt,source_ddsmall_dt2,source_ddlarge_dt2,fit_ddsmall_dt2,fit_ddlarge_dt2
5.336805555555556024e-01,1.921250000000000284e+02,6.737433214321427721e-01,2.112160419922129093e-02,6.869643713726391043e-01,2.961030730529445876e-02,-5.493000224514905661e+00,-8.961756453818072732e-01,-4.468805097141924421e+00,-9.675496948830365485e-01,3.396146575140162582e+01,1.819740947954360877e+01,6.028955694115526143e+01,1.667950053723283688e+01
5.338541666666667407e-01,1.921875000000000284e+02,6.727901875854097602e-01,2.096629247307141633e-02,6.861894448400349678e-01,2.944258131654742261e-02,-5.487100466430829826e+00,-8.930149733479706420e-01,-4.458353837488175486e+00,-9.646535698800353664e-01,3.400374737718958329e+01,1.821353235027891415e+01,6.010711267424409954e+01,1.668384139716650694e+01
5.340277777777777679e-01,1.922500000000000000e+02,6.718380786394338999e-01,2.081152971768336288e-02,6.854163299571431889e-01,2.927535819215265622e-02,-5.481193367786719506e+00,-8.898515022046299405e-01,-4.447935213012271127e+00,-9.617567006889382597e-01,3.404602900297755497e+01,1.822965522101422309e+01,5.991359012233921533e+01,1.668807354812995314e+01
5.342013888888889062e-01,1.923125000000000000e+02,6.708869958686176638e-01,2.065731641901356885e-02,6.846450208908906321e-01,2.910863805967034423e-02,-5.475278928582572924e+00,-8.866852319517841696e-01,-4.437551152012004785e+00,-9.588591062015668909e-01,3.408831062876556217e+01,1.824577809174954979e+01,5.970893186468415337e+01,1.669219677425439485e+01
5.343750000000000444e-01,1.923750000000000284e+02,6.699369405473655226e-01,2.050365306301889928e-02,6.838755114725664219e-01,2.894242104337718668e-02,-5.469357148818398073e+00,-8.835161625894384363e-01,-4.427203592754073824e+00,-9.559608053472237188e-01,3.413059225455353385e+01,1.826190096248486228e+01,5.949308048052287745e+01,1.669621085967105500e+01
5.345486111111111827e-01,1.924375000000000284e+02,6.689879139500798377e-01,2.035054013565565714e-02,6.831077951960888850e-01,2.877670726426040382e-02,-5.463428028494191402e+00,-8.803442941175909642e-01,-4.416894483474046673e+00,-9.530618170926863364e-01,3.417287388034149131e+01,1.827802383322016766e+01,5.926597854909918794e+01,1.670011558851114941e+01
5.347222222222222099e-01,1.925000000000000000e+02,6.680399173511613053e-01,2.019797812288015929e-02,6.823418652162764886e-01,2.861149684001151883e-02,-5.457491567609944028e+00,-8.771696265362358691e-01,-4.406625782376382361e+00,-9.501621604422114675e-01,3.421515550612951273e+01,1.829414670395550147e+01,5.902756864965707706e+01,1.670391074490590100e+01
5.348958333333333481e-01,1.925625000000000000e+02,6.670929520250158395e-01,2.004596751064939217e-02,6.815777143471145605e-01,2.844678988501869732e-02,-5.451547766165672826e+00,-8.739921598453833651e-01,-4.396399457634399432e+00,-9.472618544375294158e-01,3.425743713191747020e+01,1.831026957469080330e+01,5.877779336144003963e+01,1.670759611298652558e+01
5.350694444444444864e-01,1.926250000000000284e+02,6.661470192460444695e-01,1.989450878491947489e-02,6.808153350600278930e-01,2.828258651036175131e-02,-5.445596624161366250e+00,-8.708118940450269019e-01,-4.386217487390317693e+00,-9.443609181578510592e-01,3.429971875770544187e+01,1.832639244542611934e+01,5.851659526369200393e+01,1.671117147688425320e+01
5.352430555555556246e-01,1.926875000000000284e+02,6.652021202886493345e-01,1.974360243164698103e-02,6.800547194821480179e-01,2.811888682380403459e-02,-5.439638141597023413e+00,-8.676288291351650361e-01,-4.376081859755237780e+00,-9.414593707198636308e-01,3.434200038349344197e+01,1.834251531616143893e+01,5.824391693565688399e+01,1.671463662073029610e+01
5.354166666666666519e-01,1.927500000000000000e+02,6.642582564272351275e-01,1.959324893678857094e-02,6.792958593945831458e-01,2.795569092978800185e-02,-5.433672318472653195e+00,-8.644429651158032080e-01,-4.365994572809135832e+00,-9.385572312777322734e-01,3.438428200928142076e+01,1.835863818689675497e+01,5.795970095657855836e+01,1.671799132865587723e+01
5.355902777777777901e-01,1.928125000000000000e+02,6.633154289362036549e-01,1.944344878630074533e-02,6.785387462306864403e-01,2.779299892942610484e-02,-5.427699154788250269e+00,-8.612543019869400851e-01,-4.355957634600860828e+00,-9.356545190230965980e-01,3.442656363506937112e+01,1.837476105763206036e+01,5.766388990570057160e+01,1.672123538479221239e+01
5.357638888888889284e-01,1.928750000000000000e+02,6.623736390899565007e-01,1.929420246613969617e-02,6.777833710743267348e-01,2.763081092049657350e-02,-5.421718650543807527e+00,-8.580628397485690062e-01,-4.345973063148158566e+00,-9.327512531850759014e-01,3.446884526085739964e+01,1.839088392836739061e+01,5.735642636226692304e+01,1.672436857327053517e+01
5.359375000000000666e-01,1.929375000000000284e+02,6.614328881628974699e-01,1.914551046226213582e-02,6.770297246581572503e-01,2.746912699743575548e-02,-5.415730805739330300e+00,-8.548685784006953003e-01,-4.336042886437646793e+00,-9.298474530302662799e-01,3.451112688664542816e+01,1.840700679910272441e+01,5.703725290552132066e+01,1.672739067822205072e+01
5.361111111111110938e-01,1.930000000000000000e+02,6.604931774294320324e-01,1.899737326062512013e-02,6.762777973618853133e-01,2.730794725133178780e-02,-5.409735620374838128e+00,-8.516715179433279603e-01,-4.326169142424836522e+00,-9.269431378627424056e-01,3.455340851243332168e+01,1.842312966983800493e+01,5.670631211470789879e+01,1.673030148377798199e+01
5.362847222222222321e-01,1.930625000000000000e+02,6.595545081639582197e-01,1.884979134718422350e-02,6.755275792105395194e-01,2.714727176991815760e-02,-5.403733094450299923e+00,-8.484716583764502218e-01,-4.316353879034095620e+00,-9.240383270240513092e-01,3.459569013822133599e+01,1.843925254057333518e+01,5.636354656907002436e+01,1.673310077406955543e+01
5.364583333333333703e-01,1.931250000000000000e+02,6.586168816408809468e-01,1.870276520789629707e-02,6.747790598727423372e-01,2.698710063756737387e-02,-5.397723227965725457e+00,-8.452689997000685240e-01,-4.306599154158695875e+00,-9.211330398932228158e-01,3.463797176400935740e+01,1.845537541130866543e+01,5.600889884785171091e+01,1.673578833322799042e+01
5.366319444444445086e-01,1.931875000000000284e+02,6.576802991346039073e-01,1.855629532871819198e-02,6.740322286589769396e-01,2.682743393528375098e-02,-5.391706020921124498e+00,-8.420635419141879741e-01,-4.296907035660783691e+00,-9.182272958867611079e-01,3.468025338979732908e+01,1.847149828204397792e+01,5.564231153029675880e+01,1.673836394538450634e+01
5.368055555555555358e-01,1.932500000000000000e+02,6.567447619195294628e-01,1.841038219560622163e-02,6.732870745198582529e-01,2.666827174069807960e-02,-5.385681473316495271e+00,-8.388552850188062404e-01,-4.287279601371391635e+00,-9.153211144586496095e-01,3.472253501558527944e+01,1.848762115277928331e+01,5.526372719564928815e+01,1.674082739467032255e+01
5.369791666666666741e-01,1.933125000000000000e+02,6.558102712700585313e-01,1.826502629451656756e-02,6.725435860443994551e-01,2.650961412806052131e-02,-5.379649585151823565e+00,-8.356442290139165507e-01,-4.277718939090414452e+00,-9.124145151003448806e-01,3.476481664137330796e+01,1.850374402351461711e+01,5.487308842315257351e+01,1.674317846521665842e+01
5.371527777777778123e-01,1.933750000000000000e+02,6.548768284605969159e-01,1.812022811140628215e-02,6.718017514582845795e-01,2.635146116823294804e-02,-5.373610356427128032e+00,-8.324303738995295632e-01,-4.268227146586647258e+00,-9.095075173407850544e-01,3.480709826716125832e+01,1.851986689424992250e+01,5.447033779205067816e+01,1.674541694115473334e+01
5.373263888888889506e-01,1.934375000000000284e+02,6.539444347655453127e-01,1.797598813223154693e-02,6.710615586221362339e-01,2.619381292868494526e-02,-5.367563787142397125e+00,-8.292137196756383943e-01,-4.258806331597763339e+00,-9.066001407463831763e-01,3.484937989294923710e+01,1.853598976498523498e+01,5.405541788158742378e+01,1.674754260661577376e+01
5.374999999999999778e-01,1.935000000000000000e+02,6.530130914593064162e-01,1.783230684294880714e-02,6.703229950297850959e-01,2.603666947348481919e-02,-5.361509877297629956e+00,-8.259942663422420450e-01,-4.249458611830319477e+00,-9.036924049210315335e-01,3.489166151873724431e+01,1.855211263572055813e+01,5.362827127100689495e+01,1.674955524573098842e+01
5.376736111111111160e-01,1.935625000000000000e+02,6.520827998162843642e-01,1.768918472951484799e-02,6.695860478065377430e-01,2.588003086329515590e-02,-5.355448626892833630e+00,-8.227720138993455112e-01,-4.240186114959736408e+00,-9.007843295060957711e-01,3.493394314452520888e+01,1.856823550645587062e+01,5.318884053955239466e+01,1.675145464263161443e+01
5.378472222222222543e-01,1.936250000000000000e+02,6.511535611108815180e-01,1.754662227788605228e-02,6.688507037074489237e-01,2.572389715536427257e-02,-5.349380035928009924e+00,-8.195469623469476828e-01,-4.230990978630336130e+00,-8.978759341804226635e-01,3.497622477031316635e+01,1.858435837719117600e+01,5.273706826646801460e+01,1.675324058144885342e+01
5.380208333333333925e-01,1.936875000000000284e+02,6.502253766174989069e-01,1.740461997401873684e-02,6.681169491155882767e-01,2.556826840352166563e-02,-5.343304104403140187e+00,-8.163191116850422313e-01,-4.221875350455310816e+00,-8.949672386603348961e-01,3.501850639610118776e+01,1.860048124792650981e+01,5.227289703099749119e+01,1.675491284631393540e+01
5.381944444444444198e-01,1.937500000000000000e+02,6.492982476105422229e-01,1.726317830386981181e-02,6.673847700403114924e-01,2.541314465816990609e-02,-5.337220832318250174e+00,-8.130884619136390379e-01,-4.212841388016747679e+00,-8.920582626996328424e-01,3.506078802188914523e+01,1.861660411866181164e+01,5.179626941238500137e+01,1.675647122135808686e+01
5.383680555555555580e-01,1.938125000000000000e+02,6.483721753644123842e-01,1.712229775339546567e-02,6.666541521155273653e-01,2.525852596627919944e-02,-5.331130219673323900e+00,-8.098550130327322183e-01,-4.203891258865591674e+00,-8.891490260895915654e-01,3.510306964767712401e+01,1.863272698939712768e+01,5.130712798987376289e+01,1.675791549071251652e+01
5.385416666666666963e-01,1.938750000000000000e+02,6.474471611535118631e-01,1.698197880855220956e-02,6.659250805979695098e-01,2.510441237138072434e-02,-5.325032266468359587e+00,-8.066187650423197741e-01,-4.195027140521687237e+00,-8.862395486589659255e-01,3.514535127346512411e+01,1.864884986013245083e+01,5.080541534270788162e+01,1.675924543850845083e+01
5.387152777777778345e-01,1.939375000000000284e+02,6.465232062522437984e-01,1.684222195529662749e-02,6.651975403654637464e-01,2.495080391355952720e-02,-5.318926972703360789e+00,-8.033797179424034818e-01,-4.186251220473756973e+00,-8.833298502739875824e-01,3.518763289925315263e+01,1.866497273086778463e+01,5.029107405013114374e+01,1.676046084887710919e+01
5.388888888888888618e-01,1.940000000000000000e+02,6.456003119350138819e-01,1.670302767958564000e-02,6.644715159151997064e-01,2.479770062944830489e-02,-5.312814338378347934e+00,-8.001378717329937773e-01,-4.177565696179408761e+00,-8.804199508383664385e-01,3.522991452504105325e+01,1.868109560160306870e+01,4.976404669138776882e+01,1.676156150594970740e+01
5.390625000000000000e-01,1.940625000000000000e+02,6.446784794762198123e-01,1.656439646737495677e-02,6.637469913619963302e-01,2.464510255222163160e-02,-5.306694363493282829e+00,-7.968932264140720090e-01,-4.168972775065113545e+00,-8.775098702932860872e-01,3.527219615082907467e+01,1.869721847233840251e+01,4.922427584572085379e+01,1.676254719385747549e+01
5.392361111111111382e-01,1.941250000000000000e+02,6.437577101502671706e-01,1.642632880462155734e-02,6.630239504365749159e-01,2.449300971158785423e-02,-5.300567048048190344e+00,-7.936457819856492790e-01,-4.160474674526243533e+00,-8.745996286174103629e-01,3.531447777661708187e+01,1.871334134307372565e+01,4.867170409237451878e+01,1.676341769673162219e+01
5.394097222222222765e-01,1.941875000000000284e+02,6.428380052315592064e-01,1.628882517728209856e-02,6.623023764838267269e-01,2.434142213378476249e-02,-5.294432392043067814e+00,-7.903955384477261426e-01,-4.152073621927043767e+00,-8.716892458268801214e-01,3.535675940240505355e+01,1.872946421380903814e+01,4.810627401059264940e+01,1.676417279870338106e+01
5.395833333333333037e-01,1.942500000000000000e+02,6.419193659944985031e-01,1.615188607131289381e-02,6.615822524610830424e-01,2.419033984157059614e-02,-5.288290395477916128e+00,-7.871424958003018224e-01,-4.143771854600647231e+00,-8.687787419753131291e-01,3.539904102819301102e+01,1.874558708454434353e+01,4.752792817961941552e+01,1.676481228390395728e+01
