motor_time_fraction,motor_angle_deg,source16_aligned_small,source16_aligned_large,structured15_small,structured15_large,source16_aligned_dsmall_dt,source16_aligned_dlarge_dt,structured15_dsmall_dt,structured15_dlarge_dt,source16_aligned_ddsmall_dt2,source16_aligned_ddlarge_dt2,structured15_ddsmall_dt2,structured15_ddlarge_dt2
4.590277777777778123e-01,1.652500000000000000e+02,9.989333507862471206e-01,1.317653093340880321e-01,9.873416713200444672e-01,1.150900161259698073e-01,-5.333140742665375411e-01,-1.936690505156707376e+00,-1.495301962734758128e+00,-2.030501068906703122e+00,-1.375142176318013014e+02,6.825409544716305454e+00,-9.437523171734436289e+01,1.308404841570935417e+01
4.593750000000000333e-01,1.653750000000000000e+02,9.987398609649854597e-01,1.310932606092711783e-01,9.868167763244694024e-01,1.143857712532749815e-01,-5.812499110526145873e-01,-1.934304939038363980e+00,-1.528104065496926678e+00,-2.025945101494448064e+00,-1.385962022559631066e+02,6.915451296941069081e+00,-9.456278538441989667e+01,1.315828878736428642e+01
4.597222222222222543e-01,1.655000000000000000e+02,9.985296615321475056e-01,1.304220456338877066e-01,9.862804806559745119e-01,1.136831127847974798e-01,-6.295614369442736891e-01,-1.931888108422721517e+00,-1.560969113810600106e+00,-2.021363392869021780e+00,-1.396781868801242297e+02,7.005493049165777641e+00,-9.473781204025235070e+01,1.323231740039695481e+01
4.600694444444444753e-01,1.656250000000000000e+02,9.983026220401276518e-01,1.297516752636650450e-01,9.857327632119327054e-01,1.129820496456453993e-01,-6.782486519415740212e-01,-1.929440013309777102e+00,-1.593892772546428249e+00,-2.016756016977704569e+00,-1.407601715042860349e+02,7.095534801390541269e+00,-9.490039536226731798e+01,1.330613183571721159e+01
4.604166666666666963e-01,1.657500000000000000e+02,9.980586120413192930e-01,1.290821603543317875e-01,9.851736043899261830e-01,1.122825907351034935e-01,-7.273115560444861627e-01,-1.926960653699532955e+00,-1.626870735629721620e+00,-2.012123048607737275e+00,-1.418421561284478400e+02,7.185576553615304896e+00,-9.505061902789006467e+01,1.337972967423497295e+01
4.607638888888889173e-01,1.658750000000000000e+02,9.977975010881168227e-01,1.284135117616161115e-01,9.846029860776576159e-01,1.115847449263436264e-01,-7.767501492530202167e-01,-1.924450029591988187e+00,-1.659898726040452521e+00,-2.007464563386324397e+00,-1.429241407526098442e+02,7.275618305840088063e+00,-9.518856671454611273e+01,1.345310849686010002e+01
4.611111111111111382e-01,1.660000000000000000e+02,9.975191587329136356e-01,1.277457403412464443e-01,9.840208916428617725e-01,1.108885210661328946e-01,-8.265644315671558662e-01,-1.921908140987143243e+00,-1.692972495813255263e+00,-2.002780637780633644e+00,-1.440061253767716494e+02,7.365660058064851690e+00,-9.531432209966092728e+01,1.352626588450246636e+01
4.614583333333333592e-01,1.661250000000000000e+02,9.972234545281043472e-01,1.270788569489513242e-01,9.834273059232174763e-01,1.101939279745404177e-01,-8.767544029868727939e-01,-1.919334987884999011e+00,-1.726087826037425721e+00,-1.998071349097790383e+00,-1.450881100009327724e+02,7.455701810289559361e+00,-9.542796886065994499e+01,1.359919941807196864e+01
4.618055555555555802e-01,1.662500000000000000e+02,9.969102580260819080e-01,1.264128724404581794e-01,9.828222152162586767e-01,1.095009744446479028e-01,-9.273200635122319513e-01,-1.916730570285553714e+00,-1.759240526856920672e+00,-1.993336775484884749e+00,-1.461700946250946060e+02,7.545743562514322988e+00,-9.552959067496860257e+01,1.367190667847847685e+01
4.621527777777778012e-01,1.663750000000000000e+02,9.965794387792409337e-01,1.257477976714955759e-01,9.822056072692860740e-01,1.088096692422559908e-01,-9.782614131432026960e-01,-1.914094888188807797e+00,-1.792426437470359124e+00,-1.988576995928968305e+00,-1.472520792492563828e+02,7.635785314739086616e+00,-9.561927122001236512e+01,1.374438524663186456e+01
