motor_time_fraction,motor_angle_deg,source16_aligned_small,source16_aligned_large,power_sigmoid_small,power_sigmoid_large,source16_aligned_dsmall_dt,source16_aligned_dlarge_dt,power_sigmoid_dsmall_dt,power_sigmoid_dlarge_dt
2.458333333333333481e-01,8.850000000000000000e+01,6.224366656477130499e-01,5.320949666207366313e-01,8.138563558374046769e-01,6.286897693802363518e-01,9.709960280286316081e-01,-1.486020506538520136e+00,2.303233749090246807e+00,-3.463230818505257602e+00
2.461805555555555691e-01,8.862500000000000000e+01,6.227735443074884358e-01,5.315792180219051088e-01,8.146551184848213056e-01,6.274866551438600393e-01,9.694512477954251306e-01,-1.484697991705786535e+00,2.297638422741355768e+00,-3.466702205104727597e+00
2.465277777777777901e-01,8.875000000000000000e+01,6.231099138722370201e-01,5.310639217869301820e-01,8.154519376105978656e-01,6.262823407564725997e-01,9.680636406775845471e-01,-1.483414890726894475e+00,2.292039080324889344e+00,-3.470143670420852366e+00
2.468750000000000111e-01,8.887500000000000000e+01,6.234458289159582334e-01,5.305490642304451221e-01,8.162468118367943726e-01,6.250768366260185394e-01,9.668332066751064158e-01,-1.482171203601842180e+00,2.286435816998375170e+00,-3.473555107390157382e+00
2.472222222222222321e-01,8.900000000000000000e+01,6.237813440126498410e-01,5.300346316670845326e-01,8.170397398184667814e-01,6.238701531974788494e-01,9.657599457879926241e-01,-1.480966930330630094e+00,2.280828727659333754e+00,-3.476936409752061863e+00
2.475694444444444531e-01,8.912500000000000000e+01,6.241165137363103854e-01,5.295206104114823509e-01,8.178307202435753931e-01,6.226623009525895647e-01,9.648438580162429501e-01,-1.479802070913258438e+00,2.275217906942974544e+00,-3.480287472055628051e+00
2.479166666666666741e-01,8.925000000000000000e+01,6.244513926609384091e-01,5.290069867782726254e-01,8.186197518328950373e-01,6.214532904095604326e-01,9.640849433598577267e-01,-1.478676625349727436e+00,2.269603449219891544e+00,-3.483608189666321575e+00
2.482638888888888951e-01,8.937500000000000000e+01,6.247860353605318995e-01,5.284937470820897376e-01,8.194068333399207038e-01,6.202431321227901417e-01,9.634832018188369540e-01,-1.477590593640037309e+00,2.263985448593811345e+00,-3.486898458772677234e+00
2.486111111111111160e-01,8.950000000000000000e+01,6.251204964090896210e-01,5.279808776375674029e-01,8.201919635507770590e-01,6.190318366825788843e-01,9.630386333931800769e-01,-1.476543975784187168e+00,2.258363998899349134e+00,-3.490158176392963885e+00
2.489583333333333370e-01,8.962500000000000000e+01,6.254548303806102272e-01,5.274683647593396696e-01,8.209751412841223006e-01,6.178194147148390325e-01,9.627512380828869842e-01,-1.475536771782177237e+00,2.252739193699798026e+00,-3.493387240381784942e+00
