motor_time_fraction,motor_angle_deg,source16_aligned_small,source16_aligned_large,beta_cdf_small,beta_cdf_large,source16_aligned_dsmall_dt,source16_aligned_dlarge_dt,beta_cdf_dsmall_dt,beta_cdf_dlarge_dt
8.628472222222222099e-01,3.106250000000000000e+02,4.139160905268927763e-03,3.536533193409290288e-01,1.435163410395935701e-02,6.975704897843810759e-01,-4.760572479672401935e-01,1.671976838736934257e+00,5.908461220931161550e-01,3.714009896457203030e+00
8.631944444444444864e-01,3.107500000000000000e+02,3.975559599212292669e-03,3.542340339688073714e-01,1.455748451267236884e-02,6.988593753438948619e-01,-4.662889575081011206e-01,1.672989364171703075e+00,5.948514404137497102e-01,3.709966319073890073e+00
8.635416666666666519e-01,3.108750000000000000e+02,3.815347266313114973e-03,3.548151521954420740e-01,1.476472483218174009e-02,7.001468520843021626e-01,-4.565367625793725903e-01,1.674301567571107707e+00,5.988520080937002055e-01,3.705895098564421009e+00
8.638888888888889284e-01,3.110000000000000000e+02,3.658518317845758754e-03,3.553967780756814854e-01,1.497335341276607654e-02,7.014329104074626953e-01,-4.468006631810621521e-01,1.675913448935148375e+00,6.028478240215524586e-01,3.701796235895121079e+00
8.642361111111110938e-01,3.111250000000000000e+02,3.505067165084317041e-03,3.559790156643743986e-01,1.518336860432067600e-02,7.027175407155733522e-01,-4.370806593131737472e-01,1.677825008263823525e+00,6.068388871010076402e-01,3.697669732040663959e+00
8.645833333333333703e-01,3.112500000000000000e+02,3.354988219302946616e-03,3.565619690163700506e-01,1.539476875636279322e-02,7.040007334111710868e-01,-4.273767509756960514e-01,1.680036245557135599e+00,6.108251962505703014e-01,3.693515587984104620e+00
8.649305555555555358e-01,3.113750000000000000e+02,3.208275891775883622e-03,3.571457421865166237e-01,1.560755221803665840e-02,7.052824788971352454e-01,-4.176889381686441083e-01,1.682547160815081710e+00,6.148067504032411756e-01,3.689333804716922849e+00
8.652777777777778123e-01,3.115000000000000000e+02,3.064924593777214150e-03,3.577304392296634106e-01,1.582171733811849751e-02,7.065627675766907867e-01,-4.080172208920067600e-01,1.685357754037665634e+00,6.187835485062211927e-01,3.685124383239073431e+00
8.656249999999999778e-01,3.116250000000000000e+02,2.924928736581106255e-03,3.583161642006591485e-01,1.603726246502141378e-02,7.078415898534119455e-01,-3.983615991457875594e-01,1.688468025224884039e+00,6.227555895206214887e-01,3.680887324559021234e+00
8.659722222222222543e-01,3.117500000000000000e+02,2.788282731461919680e-03,3.589030211543521309e-01,1.625418594680014608e-02,7.091189361312243422e-01,-3.887220729299941668e-01,1.691877974376735150e+00,6.267228724211828528e-01,3.676622629693782507e+00
8.663194444444445308e-01,3.118750000000000568e+02,2.654980989693340662e-03,3.594911141455927606e-01,1.647248613115577867e-02,7.103947968144075364e-01,-3.790986422446037118e-01,1.695587601493229180e+00,6.306853961960027233e-01,3.672330299668978615e+00
8.666666666666666963e-01,3.120000000000000000e+02,2.525017922550005633e-03,3.600805472292278320e-01,1.669216136544040760e-02,7.116691623076009110e-01,-3.694913070896468366e-01,1.699596906574351252e+00,6.346431598462694001e-01,3.668010335518870679e+00
8.670138888888889728e-01,3.121250000000000568e+02,2.398387941305805959e-03,3.606714244601078589e-01,1.691320999666128325e-02,7.129420230158008964e-01,-3.599000674650964515e-01,1.703905889620114023e+00,6.385961623859975900e-01,3.663662738286415976e+00
8.673611111111111382e-01,3.122500000000000000e+02,2.275085457235035899e-03,3.612638498930806907e-01,1.713563037148564325e-02,7.142133693443697418e-01,-3.503249233709684329e-01,1.708514550630511053e+00,6.425444028417834907e-01,3.659287509023298579e+00
8.677083333333334147e-01,3.123750000000000568e+02,2.155104881611856569e-03,3.618579275829949538e-01,1.735942083624522972e-02,7.154831916990379570e-01,-3.407658748072663335e-01,1.713422889605539901e+00,6.464878802525633184e-01,3.654884648789987089e+00
8.680555555555555802e-01,3.125000000000000000e+02,2.038440625710295512e-03,3.624537615847004957e-01,1.758457973693944992e-02,7.167514804859018707e-01,-3.312229217739746656e-01,1.718630906545208781e+00,6.504265936693539585e-01,3.650454158655782599e+00
8.684027777777778567e-01,3.126250000000000000e+02,1.925087100804648071e-03,3.630514559530456098e-01,1.781110541924102453e-02,7.180182261114346209e-01,-3.216960642711010343e-01,1.724138601449512809e+00,6.543605421550466872e-01,3.645996039698851554e+00
8.687500000000000222e-01,3.127500000000000000e+02,1.815038718169007925e-03,3.636511147428788115e-01,1.803899622849887419e-02,7.192834189824824920e-01,-3.121853022986496584e-01,1.729945974318449986e+00,6.582897247841604793e-01,3.641510293006292365e+00
8.690972222222222987e-01,3.128750000000000000e+02,1.708289889077468319e-03,3.642528420090499486e-01,1.826825050974264023e-02,7.205470495062723524e-01,-3.026906358566087696e-01,1.736053025152028084e+00,6.622141406426292898e-01,3.636996919674167383e+00
8.694444444444444642e-01,3.130000000000000000e+02,1.604835024804391599e-03,3.648567418064064816e-01,1.849886660768659818e-02,7.218091080904124324e-01,-2.932120649449938554e-01,1.742459753950235779e+00,6.661337888275858932e-01,3.632455920807565075e+00
8.697916666666667407e-01,3.131250000000000000e+02,1.504668536623737871e-03,3.654629181897982027e-01,1.873084286673347074e-02,7.230695851428960985e-01,-2.837495895637932586e-01,1.749166160713083062e+00,6.700486684471527177e-01,3.627887297520639098e+00
8.701388888888889062e-01,3.132500000000000000e+02,1.407784835809734172e-03,3.660714752140736827e-01,1.896417763097780693e-02,7.243284710721050734e-01,-2.743032097130110314e-01,1.756172245440565272e+00,6.739587786202295705e-01,3.623291050936668700e+00
8.704861111111111827e-01,3.133750000000000000e+02,1.314178333636679529e-03,3.666825169340812152e-01,1.919886924421068675e-02,7.255857562868142097e-01,-2.648729253926544458e-01,1.763478008132677743e+00,6.778641184763107841e-01,3.618667182188093356e+00
8.708333333333333481e-01,3.135000000000000000e+02,1.223843441378528844e-03,3.672961474046705921e-01,1.943491604992229893e-02,7.268414311961914898e-01,-2.554587366027085693e-01,1.771083448789430914e+00,6.817646871552738297e-01,3.614015692416586045e+00
8.711805555555556246e-01,3.136250000000000000e+02,1.136774570309512190e-03,3.679124706806902734e-01,1.967231639130607307e-02,7.280954862098035774e-01,-2.460606433431809514e-01,1.778988567410820343e+00,6.856604838071975738e-01,3.609336582773084778e+00
8.715277777777777901e-01,3.137500000000000000e+02,1.052966131703857253e-03,3.685315908169888299e-01,1.991106861126210048e-02,7.293479117376181486e-01,-2.366786456140750894e-01,1.787193363996841589e+00,6.895515075921758719e-01,3.604629854417857437e+00
8.718750000000000666e-01,3.138750000000000000e+02,9.724125368355233815e-04,3.691536118684157208e-01,2.015117105240060366e-02,7.305986981900081112e-01,-2.273127434153801585e-01,1.795697838547505754e+00,6.934377576801394882e-01,3.599895508520546628e+00
8.722222222222222321e-01,3.140000000000000000e+02,8.951081969789421999e-04,3.697786378898187953e-01,2.039262205704486103e-02,7.318478359777521591e-01,-2.179629367471108137e-01,1.804501991062798183e+00,6.973192332506696900e-01,3.595133546260240287e+00
8.725694444444445086e-01,3.141250000000000000e+02,8.210475234081376743e-04,3.704067729360476791e-01,2.063541996723561311e-02,7.330953155120429887e-01,-2.086292256092561193e-01,1.813605821542731089e+00,7.011959334928452581e-01,3.590343968825494336e+00
8.729166666666666741e-01,3.142500000000000000e+02,7.502249273972044601e-04,3.710381210619510539e-01,2.087956312473315465e-02,7.343411272044858551e-01,-1.993116100018194892e-01,1.823009329987298255e+00,7.050678576050563029e-01,3.585526777414423272e+00
8.732638888888889506e-01,3.143750000000000000e+02,6.826348202205075044e-04,3.716727863223770467e-01,2.112504987102120993e-02,7.355852614671030132e-01,-1.900100899248086395e-01,1.832712516396493241e+00,7.089350047948493883e-01,3.580681973234732585e+00
8.736111111111111160e-01,3.145000000000000000e+02,6.182716131520040945e-04,3.723108727721756162e-01,2.137187854730987838e-02,7.368277087123394908e-01,-1.807246653782086099e-01,1.842715380770332256e+00,7.127973742787658828e-01,3.575809557503781377e+00
8.739583333333333925e-01,3.146250000000000000e+02,5.571297174658535042e-04,3.729524844661950556e-01,2.162004749453878133e-02,7.380684593530636439e-01,-1.714553363620267279e-01,1.853017923108806420e+00,7.166549652821856409e-01,3.570909531448644980e+00
8.743055555555555580e-01,3.147500000000000000e+02,4.992035444364205723e-04,3.735977254592840469e-01,2.186955505338006311e-02,7.393075038025711532e-01,-1.622021028762667683e-01,1.863620143411913066e+00,7.205077770391749015e-01,3.565981896306160692e+00
8.746527777777778345e-01,3.148750000000000000e+02,4.444875053375963413e-04,3.742466998062921046e-01,2.212039956424156212e-02,7.405448324745916855e-01,-1.529649649209176288e-01,1.874522041679663298e+00,7.243558087923387401e-01,3.561026653322996172e+00
8.750000000000000000e-01,3.150000000000000000e+02,3.929760114438122197e-04,3.748995115620669116e-01,2.237257936726906593e-02,7.417804357832832318e-01,-1.437439224959941586e-01,1.885723617912039796e+00,7.281990597926664144e-01,3.556043803755714272e+00
8.753472222222222765e-01,3.151250000000000000e+02,3.446634740290276089e-04,3.755562647814583155e-01,2.262609280235048856e-02,7.430143041432498707e-01,-1.345389756014850058e-01,1.897224872109057436e+00,7.320375292994074634e-01,3.551033348870806350e+00
8.756944444444444420e-01,3.152500000000000000e+02,2.995443043674682988e-04,3.762170635193147761e-01,2.288093820911744208e-02,7.442464279695318874e-01,-1.253501242373942504e-01,1.909025804270710669e+00,7.358712165799143889e-01,3.545995289944781526e+00
8.760416666666667185e-01,3.153750000000000000e+02,2.576129137333660964e-04,3.768820118304844202e-01,2.313711392694866795e-02,7.454767976776149885e-01,-1.161773684037292892e-01,1.921126414396989057e+00,7.397001209095163121e-01,3.540929628264216866e+00
8.763888888888888840e-01,3.155000000000000000e+02,2.188637134007429615e-04,3.775512137698177062e-01,2.339461829497265291e-02,7.467054036834354092e-01,-1.070207081004711375e-01,1.933526702487917914e+00,7.435242415713840813e-01,3.535836365125816005e+00
8.767361111111111605e-01,3.156250000000000000e+02,1.832911146438306741e-04,3.782247733921623167e-01,2.365344965207045319e-02,7.479322364033800241e-01,-9.788014332763503300e-02,1.946226668543478144e+00,7.473435778564023746e-01,3.530715501836472647e+00
8.770833333333333259e-01,3.157500000000000000e+02,1.508895287368570027e-04,3.789027947523665452e-01,2.391360633687772755e-02,7.491572862542900113e-01,-8.875567408522450075e-02,1.959226312563663086e+00,7.511581290630340302e-01,3.525567039713346063e+00
8.774305555555556024e-01,3.158750000000000000e+02,1.216533669537773641e-04,3.795853819052812383e-01,2.417508668778856756e-02,7.503805436534687345e-01,-7.964730037321748890e-02,1.972525634548504936e+00,7.549678944972134653e-01,3.520390980083901056e+00
8.777777777777777679e-01,3.160000000000000000e+02,9.557704056902933357e-05,3.802726389057528578e-01,2.443788904295687847e-02,7.516019990186808553e-01,-7.055502219164341837e-02,1.986124634497961061e+00,7.587728734722076762e-01,3.515187324285997228e+00
8.781250000000000444e-01,3.161250000000000000e+02,7.265496085656427566e-05,3.809646698086318617e-01,2.470201174029947738e-02,7.528216427681559964e-01,-6.147883954048025124e-02,2.000023312412062992e+00,7.625730653085068811e-01,3.509956073667940935e+00
8.784722222222222099e-01,3.162500000000000000e+02,5.288153909061598295e-05,3.816615786687665990e-01,2.496745311749850108e-02,7.540394653205954034e-01,-5.241875241973526639e-02,2.014221668290801404e+00,7.663684693337060594e-01,3.504697229588557672e+00
8.788194444444444864e-01,3.163750000000000000e+02,3.625118654534162881e-05,3.823634695410055850e-01,2.523421151200382073e-02,7.552554570951744983e-01,-4.337476082941210676e-02,2.028719702134168745e+00,7.701590848823919311e-01,3.499410793417251142e+00
8.791666666666666519e-01,3.165000000000000000e+02,2.275831449490641983e-05,3.830704464801982234e-01,2.550228526103543933e-02,7.564696085115438784e-01,-3.434686476950347955e-02,2.043517413942179228e+00,7.739449112960312682e-01,3.494096766534086296e+00
8.795138888888889284e-01,3.166250000000000000e+02,1.239733421346751072e-05,3.837826135411930295e-01,2.577167270158589943e-02,7.576819099898368659e-01,-2.533506424001325322e-02,2.058614803714823971e+00,7.777259479228625372e-01,3.488755150329840404e+00
8.798611111111110938e-01,3.167500000000000000e+02,5.162656975186079612e-06,3.845000747788381856e-01,2.604237217042259384e-02,7.588923519506709514e-01,-1.633935924094848460e-02,2.074011871452091871e+00,7.815021941177894282e-01,3.483385946206086548e+00
8.802083333333333703e-01,3.168750000000000000e+02,1.048694054227349193e-06,3.852229342479845942e-01,2.631438200409007624e-02,7.601009248151525677e-01,-7.359749772287232927e-03,2.089708617154021564e+00,7.852736492422766057e-01,3.477989155575259339e+00
8.805555555555555358e-01,3.170000000000000000e+02,4.985672467986823471e-08,3.859512960034783835e-01,2.658770053891229210e-02,7.613076190048798653e-01,1.603764165941067455e-03,2.105705040820561091e+00,7.890403126642477893e-01,3.472564779860721540e+00
8.809027777777778123e-01,3.171250000000000000e+02,2.160556260842017510e-06,3.866852641001702340e-01,2.686232611099483372e-02,7.625124249419481526e-01,1.055118257375857113e-02,2.122001142451747313e+00,7.928021837579861675e-01,3.467112820496848880e+00
8.812500000000000888e-01,3.172500000000000568e+02,7.375203936737784341e-06,3.874249425929085500e-01,2.713825705622710180e-02,7.637153330489515612e-01,1.948250545115778887e-02,2.138596922047570903e+00,7.965592619040360312e-01,3.461633278929085122e+00
8.815972222222222543e-01,3.173750000000000000e+02,1.568821102666554933e-05,3.881704355365416803e-01,2.741549171028467152e-02,7.649163337489893744e-01,2.839773279813507731e-02,2.155492379608023423e+00,8.003115464891089603e-01,3.456126156614031775e+00
8.819444444444445308e-01,3.175000000000000568e+02,2.709398880465131387e-05,3.889218469859195282e-01,2.769402840863074283e-02,7.661154174656654714e-01,3.729686461470146236e-02,2.172687515133124414e+00,8.040590369059843479e-01,3.450591455019524911e+00
8.822916666666666963e-01,3.176250000000000000e+02,4.158694854492284897e-05,3.896792809958895543e-01,2.797386548651905475e-02,7.673125746230992084e-01,4.617990090084238969e-02,2.190182328622848562e+00,8.078017325534244675e-01,3.445029175624691575e+00
8.826388888888889728e-01,3.177500000000000568e+02,5.916150152163931342e-05,3.904428416213014952e-01,2.825500127899597397e-02,7.685077956459245296e-01,5.504684165656877765e-02,2.207976820077215407e+00,8.115396328360872102e-01,3.439439319920038596e+00
8.829861111111111382e-01,3.178750000000000000e+02,7.981205900889733803e-05,3.912126329170040329e-01,2.853743412090123041e-02,7.697010709592924105e-01,6.389768688187676127e-02,2.226070989496215624e+00,8.152727371644205023e-01,3.433821889407547623e+00
