time_s,cycle_progress_rad,S_pressure_Pa,S_temperature_K,L_pressure_Pa,L_temperature_K,H_i_pressure_Pa,H_i_temperature_K,H_o_pressure_Pa,H_o_temperature_K,S_to_H_i_mass_flow_kg_s,H_i_to_L_mass_flow_kg_s,L_to_H_o_mass_flow_kg_s,H_o_to_S_mass_flow_kg_s,H_i_heat_received_W,H_o_heat_received_W
5.914850493683866e-07,5.631001288817331e-07,157465.50083609045,302.0309054360471,157469.90720745717,474.9969370511099,157469.72563740765,598.5171800074439,157470.07376129288,299.52136002982013,-0.0020799645973358987,0.0,-0.00030201053096308157,0.0017134792057583205,185.35249906950924,59.829996272483754
7.46486656049173e-07,7.106633256050135e-07,157464.43783553477,302.0305215794971,157469.92200051152,474.99694961534914,157469.61922405037,598.5171117202905,157470.02099522058,299.52133899024625,-0.0023049270921678814,0.0,-0.00022158190253614607,0.001894421002530262,185.36103496369094,59.83262621921881
9.014882627299592e-07,8.582265223282938e-07,157463.41446358353,302.0301784370649,157469.93673634823,474.9969622025026,157469.5009722826,598.5170305794958,157469.96632080124,299.52131691391384,-0.002499209928337157,0.0,-9.743283975461736e-05,0.002052999551648241,185.37117756302735,59.83538576077052
1.0564898694107455e-06,1.0057897190515742e-06,157462.42582344645,302.0298709019926,157469.95136838913,474.9969747784813,157469.3723912541,598.5169382242942,157469.9126375873,299.5212964356248,-0.002670756193675128,0.0,9.430994476441214e-05,0.0021952165273854463,185.38272196322225,59.837945546902915
1.28546181538092e-06,1.2237734743870436e-06,157461.02212431325,302.0294746539049,157469.97279957743,474.99699326371865,157469.1656485255,598.5167835567061,157469.83558875817,299.5212707392353,-0.002892614722861841,0.0,0.00021420655328419576,0.0023824873852349,185.4020554117426,59.84115759558506
1.5144337613510943e-06,1.441757229722513e-06,157459.67663924597,302.02913778166703,157469.99409902742,474.9970116203689,157468.94177972138,598.5166102985218,157469.7578847775,299.52124832877746,-0.0030860645342163954,0.0,0.000292258332382555,0.002548619900287036,185.42371268478064,59.84395890281746
1.7434057073212688e-06,1.6597409850579825e-06,157458.3829687281,302.0288536432547,157470.0153091146,474.9970299000012,157468.70273780203,598.5164205713072,157469.67812015596,299.5212270641266,-0.0032574953475694784,0.0,0.00035522610004547005,0.002698120654052055,185.44742858659902,59.84661698417426
1.972377653291443e-06,1.8777247403934519e-06,157457.13572673354,302.02861665579906,157470.03644288256,474.997048113857,157468.4501620134,598.5162161558978,157469.5962587942,299.5212065950386,-0.00341129166128598,0.0,0.00040980435934186583,0.0028342334240534545,185.4729805127704,59.849175620172446
2.244032067605772e-06,2.1363426646757933e-06,157455.71024127392,302.02839046635785,157470.06142887112,474.9970696476954,157468.13476442092,598.5159565558325,157469.4965189272,299.521183100847,-0.003575128098455214,0.0,0.0004675517037826876,0.0029815281419618544,185.5054305209336,59.852112394125356
2.515686481920101e-06,2.3949605889581346e-06,157454.3379524693,302.0282180517314,157470.08632951736,474.99709110798034,157467.80401292018,598.5156802965414,157469.39412091035,299.5211603260269,-0.003722293272026767,0.0,0.0005199738942578745,0.0031160929633077443,185.53996293232444,59.85495924663553
2.78734089623443e-06,2.653578513240476e-06,157453.01391005612,302.0280942853794,157470.1111518738,474.9971125007898,157467.4594113029,598.5153890119008,157469.2892835896,299.52113821073766,-0.0038555605572816076,0.0,0.0005684492587700171,0.0032400303292497708,185.5763735124043,59.857723657792405
3.0589953105487588e-06,2.912196437522817e-06,157451.7339441247,302.0280148495062,157470.1359013454,474.997133830782,157467.1022259324,598.5150840778713,157469.18221871147,299.5211167330352,-0.003977032650905025,0.0,0.000613835370349579,0.003354940558981079,185.61449026609012,59.860408370596474
3.6728767511586057e-06,3.496618171757076e-06,157448.98637025052,302.0279805364379,157470.1915821515,474.99718181851154,157466.25401733074,598.5143504805255,157468.93305582672,299.5210705574163,-0.004216051529049715,0.0,0.0007077677963542293,0.003587456507115458,185.706189934308,59.8661803229632
4.286758191768453e-06,4.081039905991335e-06,157446.41306486382,302.0281199902845,157470.24694974252,474.99722953628884,157465.3569774762,598.5135639465968,157468.67544761748,299.5210277347797,-0.00441625423797724,0.0,0.0007927311920822864,0.0037902449106067605,185.80450667539594,59.87153315253835
4.900639632378299e-06,4.665461640225594e-06,157443.98895130798,302.02840724821664,157470.30203115454,474.997277007415,157464.4187196872,598.5127327495027,157468.41094540592,299.52098842271266,-0.00458640848112693,0.0,0.0008709879822306796,0.003970034920141511,185.90840631216565,59.87644716091722
5.514521072988147e-06,5.249883374459853e-06,157441.6942931408,302.02882187372643,157470.35684725374,474.9973242498733,157463.44523743162,598.511863402715,157468.14078939045,299.5209527660999,-0.0047325632804726455,0.0,0.0009439402733782186,0.004131472765043625,186.01707466062578,59.88090423750947
6.374385311345773e-06,6.06848337788684e-06,157438.6675476183,302.02958543549096,157470.43321413934,474.997390065544,157462.03165174474,598.5105915596927,157467.7547753479,299.52090918848467,-0.0049051096195777055,0.0,0.0010389520288547288,0.004333012320005169,186.17605503841617,59.886351439416785
7.2342495497034e-06,6.887083381313827e-06,157435.82892743705,302.0305306761347,157470.50913055672,474.9974554929628,157460.5689651667,598.5092666140579,157467.36177697938,299.5208732383479,-0.00504761528898471,0.0,0.001127159629758522,0.004511631188622216,186.34167324276518,59.890845206510335
8.094113788061028e-06,7.705683384740815e-06,157433.15087707946,302.031629049194,157470.58462675047,474.99752055819584,157459.06555312386,598.5078976690857,157466.96346158674,299.5208450545375,-0.005166156624196366,0.0,0.0012097750748023557,0.004671982238181462,186.51279136429366,59.894368182810354
8.953978026418655e-06,8.524283388167802e-06,157430.610917098,302.0328572633409,157470.6597281233,474.99758528313635,157457.52825006796,598.5064921533789,157466.56115054726,299.5208247106225,-0.0052652251958964814,0.0,0.0012876693005684236,0.004817487576314983,186.688480827641,59.89691117218854
9.813842264776283e-06,9.34288339159479e-06,157428.1908017562,302.03419641658456,157470.73445625152,474.99764968638,157455.96260144666,598.5050560945882,157466.15586964015,299.52081221651076,-0.005348198110713654,0.0,0.0013615021400388803,0.004950714905980609,186.86798817647343,59.89847293615469
1.0917013102545196e-05,1.0393113894613564e-05,157425.23729096915,302.0360519881189,157470.82981252042,474.99773186762553,157453.9197526621,598.503176923187,157465.63285730552,299.5208076325943,-0.005435226450030071,0.0,0.0014510906249294829,0.0051067980498476035,187.10288460162872,59.899045925710936
1.202018394031411e-05,1.1443344397632337e-05,157422.4298169896,302.03803710904964,157470.92461911964,474.99781357511193,157451.84580770988,598.5012643917213,157465.10763732097,299.52081578411327,-0.005504318788209493,0.0,0.0015356808291332284,0.005249131622475413,187.34195103483842,59.89802698584157
