theta_deg,E_x,E_y,E_projected_velocity,E_projected_velocity_scaled_to_target,E_piecewise_model_scaled_to_target,target_velocity,target_piecewise_model,regime_core
110.75,0.45270897167115187,-0.27179731565596155,-0.1959803306191683,-0.1122442791375227,-0.157154327899186,-0.23220531690395618,-0.15380006425191461,1
111.0,0.4524794484126413,-0.2704309187154603,-0.19571980249192938,-0.11212107474828979,-0.15643141715806655,-0.2314138544503856,-0.15311099261121125,1
111.25,0.4522488338736038,-0.269068861928176,-0.19546210181369858,-0.11199920746661539,-0.155708506416947,-0.23061250385883506,-0.15242192097050783,1
111.5,0.4520171138862311,-0.2677111461782218,-0.19520714005325948,-0.11187863542587048,-0.15498559567582745,-0.22980129167258442,-0.15173284932980435,1
111.75000000000001,0.45178427456389647,-0.26635777263345295,-0.19495482926755037,-0.11175931703756588,-0.154262684934708,-0.22898024531260802,-0.15104377768910104,1
112.0,0.45155030229905047,-0.2650087427440778,-0.19470508208911552,-0.11164121098541786,-0.15353977419358844,-0.2281493930775743,-0.15035470604839757,1
112.25,0.45131518376116203,-0.2636640582412997,-0.1944578117136952,-0.11152427621947947,-0.152816863452469,-0.22730876414384618,-0.14966563440769426,1
112.5,0.45107890589470306,-0.26232372113599006,-0.19421293188795022,-0.11140847195033542,-0.15209395271134946,-0.22645838856548098,-0.14897656276699078,1
112.75,0.45084145591717095,-0.26098773371740164,-0.19397035689731887,-0.11129375764335964,-0.15137104197022988,-0.22559829727423025,-0.14828749112628736,1
113.0,0.450602821317156,-0.25965609855190774,-0.19373000155400222,-0.11118009301303342,-0.15064813122911044,-0.22472852207953997,-0.147598419485584,1
113.25,0.4503629898524465,-0.2583288184817811,-0.19349178118507435,-0.1110674380173228,-0.1499252204879909,-0.22384909566855038,-0.14690934784488058,1
113.5,0.4501219495481774,-0.25700589662399914,-0.1932556116207154,-0.1109557528521139,-0.1492023097468714,-0.22296005160609617,-0.1462202762041772,1
113.75,0.44987968869501316,-0.25568733636908997,-0.19302140918256305,-0.1108449979457043,-0.14847939900575188,-0.2220614243347063,-0.1455312045634738,1
114.00000000000001,0.4496361958473756,-0.2543731413800034,-0.1927890906721803,-0.11073513395334944,-0.14775648826463234,-0.2211532491746041,-0.14484213292277037,1
114.25,0.44939145982170614,-0.25306331559102113,-0.1925585733596361,-0.11062612175186236,-0.1470335775235129,-0.22023556232370725,-0.144153061282067,1
114.5,0.4491454696947679,-0.2517578632066943,-0.19232977497219575,-0.11051792243426542,-0.14631066678239332,-0.21930840085762784,-0.1434639896413636,1
114.75000000000001,0.44889821480198516,-0.25045678870081794,-0.1921026136831188,-0.11041049730449269,-0.14558775604127383,-0.2183718027296722,-0.14277491800066022,1
115.0,0.44864968473581923,-0.2491600968154338,-0.19187700810056038,-0.11030380787214149,-0.14486484530015434,-0.21742580677084106,-0.1420858463599568,1
115.25,0.4483998693441824,-0.24786779255986932,-0.19165287725657454,-0.11019781584727192,-0.1441419345590348,-0.21647045268982945,-0.14139677471925338,1
115.49999999999999,0.44814875872888577,-0.2465798812098065,-0.19143014059621538,-0.11009248313525284,-0.1434190238179153,-0.21550578107302684,-0.14070770307855002,1
115.75,0.44789634324412764,-0.24529636830637974,-0.19120871796673444,-0.10998777183165327,-0.14269611307679578,-0.21453183338451695,-0.1400186314378466,1
116.00000000000001,0.44764261349501044,-0.2440172596553158,-0.19098852960687068,-0.10988364421717757,-0.14197320233567623,-0.21354865196607795,-0.13932955979714318,1
116.25,0.4473875603360987,-0.24274256132609226,-0.1907694961362308,-0.1097800627526434,-0.1412502915945568,-0.21255628003718227,-0.1386404881564398,1
116.5,0.44713117487000914,-0.2414722796511391,-0.19055153854475754,-0.10967699007400127,-0.14052738085343722,-0.21155476169499668,-0.1379514165157364,1
116.74999999999999,0.44687344844603505,-0.24020642122506436,-0.19033457818228258,-0.10957438898739398,-0.13980447011231772,-0.2105441419143824,-0.13726234487503303,1
117.0,0.44661437265880555,-0.23894499290391494,-0.19011853674816212,-0.10947222246425538,-0.13908155937119823,-0.20952446654789486,-0.1365732732343296,1
117.25000000000001,0.4463539393469761,-0.23768800180447058,-0.18990333628099215,-0.10937045363644664,-0.13835864863007868,-0.20849578232578392,-0.13588420159362619,1
117.5,0.44609214059195557,-0.2364354553035649,-0.18968889914840167,-0.10926904579142943,-0.13763573788895916,-0.20745813685599376,-0.13519512995292282,1
117.75,0.44582896871666333,-0.2351873610374402,-0.18947514803692017,-0.1091679623674743,-0.13691282714783967,-0.206411578624163,-0.1345060583122194,1
118.00000000000001,0.4455644162843221,-0.23394372690113444,-0.18926200594191822,-0.1090671669489034,-0.13618991640672018,-0.20535615699362444,-0.13381698667151604,1
118.25,0.44529847609727746,-0.23270456104789997,-0.1890493961576178,-0.10896662326136654,-0.13546700566560066,-0.20429192220540532,-0.13312791503081262,1
118.50000000000001,0.44503114119585513,-0.23146987188864768,-0.1888372422671706,-0.10886629516714906,-0.1347440949244811,-0.20321892537822728,-0.1324388433901092,1
118.74999999999999,0.4447624048572483,-0.23023966809143198,-0.18862546813280173,-0.10876614666051079,-0.13402118418336162,-0.2021372185085061,-0.13174977174940583,1
119.0,0.4444922605944336,-0.22901395858095844,-0.18841399788601665,-0.10866614186305491,-0.13329827344224213,-0.20104685447035223,-0.1310607001087024,1
119.25000000000001,0.4442207021551223,-0.2277927525381262,-0.1882027559178688,-0.10856624501912548,-0.13257536270112255,-0.19994788701557023,-0.13037162846799893,1
119.5,0.4439477235207369,-0.22657605939960346,-0.18799166686928595,-0.10846642049123274,-0.13185245196000306,-0.19884037077365907,-0.12968255682729563,1
119.75,0.44367331890542616,-0.22536388885742747,-0.18778065562145316,-0.10836663275550519,-0.13112954121888357,-0.19772436125181198,-0.12899348518659215,1
119.99999999999999,0.4433974827551027,-0.2241562508586427,-0.18756964728624967,-0.10826684639716717,-0.13040663047776407,-0.1965999148349167,-0.12830441354588884,1
120.25,0.4431202097465138,-0.22295315560496576,-0.1873585671967384,-0.10816702610604131,-0.12968371973664455,-0.19546708878555527,-0.12761534190518536,1
120.50000000000001,0.4428414947863436,-0.22175461355248288,-0.18714734089770524,-0.10806713667207458,-0.128960808995525,-0.194325941244004,-0.12692627026448194,1
120.75,0.44256133301034384,-0.22056063541137425,-0.1869358941362461,-0.10796714298088685,-0.1282378982544055,-0.19317653122823358,-0.12623719862377858,1
121.0,0.4422797197824904,-0.21937123214567894,-0.18672415285240013,-0.10786701000934129,-0.127514987513286,-0.19201891863390907,-0.12554812698307516,1
121.24999999999999,0.44199665069417665,-0.21818641497307678,-0.186512043169827,-0.1077667028211357,-0.1267920767721665,-0.19085316423438986,-0.1248590553423718,1
121.5,0.44171212156342887,-0.2170061953647142,-0.18629949138652555,-0.10766618656241325,-0.12606916603104695,-0.18967932968072967,-0.12416998370166837,1
121.75000000000001,0.44142612843415263,-0.21583058504505181,-0.18608642396559266,-0.10756542645739245,-0.12534625528992746,-0.18849747750167664,-0.12348091206096495,1
122.0,0.4411386675754112,-0.2146595959917471,-0.18587276752602036,-0.10746438780401495,-0.12462334454880795,-0.18730767110367313,-0.12279184042026159,1
122.25,0.44084973548072565,-0.21349324043556672,-0.1856584488335285,-0.10736303596961037,-0.12390043380768845,-0.1861099747708561,-0.12210276877955817,1
122.50000000000001,0.4405593288674111,-0.2123315308603289,-0.18544339479143207,-0.10726133638657741,-0.12317752306656896,-0.18490445366505645,-0.1214136971388548,1
122.75,0.4402674446759341,-0.21117448000287806,-0.18522753243154066,-0.10715925454808016,-0.1224546123254494,-0.18369117382579978,-0.12072462549815138,1
123.00000000000001,0.4399740800693041,-0.21002210085308756,-0.18501078890508857,-0.10705675600375897,-0.1217317015843299,-0.18247020217030588,-0.12003555385744796,1
123.24999999999999,0.43967923243248624,-0.20887440665389698,-0.18479309147369344,-0.10695380635545473,-0.1210087908432104,-0.18124160649348897,-0.1193464822167446,1
123.5,0.4393828993718498,-0.20773141090137476,-0.1845743675003422,-0.10685037125294612,-0.12028588010209085,-0.18000545546795751,-0.11865741057604118,1
123.75000000000001,0.4390850787146371,-0.20659312734481877,-0.18435454444040197,-0.10674641638969865,-0.11956296936097134,-0.17876181864401433,-0.11796833893533776,1
124.0,0.4387857685084638,-0.20545956998687873,-0.18413354983265456,-0.1066419074986248,-0.11884005861985185,-0.17751076644965677,-0.11727926729463439,1
124.25,0.43848496702084566,-0.20433075308371834,-0.18391131129035274,-0.1065368103478546,-0.11811714787873234,-0.17625237019057627,-0.11659019565393097,1
124.49999999999999,0.4381826727387538,-0.20320669114519932,-0.1836877564922969,-0.10643109073651569,-0.11739423713761284,-0.1749867020501588,-0.11590112401322761,1
124.75,0.4378788843681939,-0.20208739893510522,-0.18346281317393,-0.1063247144905221,-0.11667132639649329,-0.17371383508948463,-0.11521205237252419,1
125.00000000000001,0.4375736008338175,-0.2009728914713846,-0.18323640911844966,-0.10621764745837117,-0.11594841565537378,-0.17243384324732824,-0.11452298073182077,1
125.25,0.4372668212785542,-0.19986318402644046,-0.18300847214793514,-0.1061098555069475,-0.11522550491425429,-0.17114680134015867,-0.1138339090911174,1
125.5,0.4369585450632788,-0.198758292127432,-0.18277893011448904,-0.10600130451733374,-0.11450259417313473,-0.1698527850621392,-0.11314483745041398,1
125.74999999999999,0.4366487717664955,-0.19765823155662382,-0.18254771089139032,-0.10589196038062693,-0.11377968343201529,-0.16855187098512744,-0.11245576580971062,1
126.0,0.4363375011840598,-0.19656301835175255,-0.1823147423642589,-0.10578178899376015,-0.11305677269089573,-0.16724413655867543,-0.1117666941690072,1
126.25000000000001,0.4360247333289176,-0.19547266880643516,-0.18207995242222882,-0.10567075625532835,-0.11233386194977624,-0.16592966011002946,-0.11107762252830378,1
126.5,0.43571046843087813,-0.1943871994705989,-0.18184326894913022,-0.10555882806141824,-0.11161095120865673,-0.1646085208441302,-0.11038855088760041,1
126.75,0.43539470693640886,-0.1933066271509491,-0.18160461981467707,-0.10544597030144096,-0.11088804046753718,-0.1632807988436127,-0.10969947924689699,1
127.00000000000001,0.4350774495084606,-0.19223096891146021,-0.18136393286566027,-0.10533214885396726,-0.11016512972641773,-0.16194657506880636,-0.10901040760619363,1
127.25,0.4347586970263163,-0.19116024207390875,-0.1811211359171447,-0.1052173295825646,-0.10944221898529817,-0.16060593135773485,-0.1083213359654902,1
127.50000000000001,0.43443845058547,-0.19009446421842235,-0.18087615674366866,-0.1051014783316353,-0.10871930824417862,-0.1592589504261163,-0.10763226432478673,1
127.74999999999999,0.43411671149752906,-0.18903365318407284,-0.18062892307044418,-0.10498456092225517,-0.10799639750305917,-0.15790571586736304,-0.10694319268408342,1
128.0,0.4337934812901444,-0.18797782706949356,-0.1803793625645578,-0.10486654314801236,-0.10727348676193962,-0.15654631215258186,-0.10625412104337995,1
128.25,0.43346876170697024,-0.18692700423352543,-0.18012740282616968,-0.10474739077084534,-0.10655057602082012,-0.15518082463057392,-0.10556504940267653,1
128.5,0.43314255470764396,-0.1858812032959029,-0.17987297137971023,-0.10462706951687979,-0.10582766527970061,-0.1538093395278346,-0.10487597776197316,1
128.75,0.4328148624677999,-0.18484044313795847,-0.17961599566507339,-0.10450554507226394,-0.10510475453858106,-0.15243194394855375,-0.10418690612126974,1
129.0,0.4324856873791063,-0.18380474290336565,-0.1793564030288049,-0.10438278307900135,-0.10438184379746161,-0.15104872587461554,-0.10349783448056638,1
129.25,0.43215503204932654,-0.1827741219989173,-0.17909412071528485,-0.10425874913078126,-0.10365893305634206,-0.1496597741655984,-0.10280876283986295,1
129.5,0.431822899302415,-0.18174860009531885,-0.17882907585790334,-0.10413340876880543,-0.1029360223152225,-0.14826517855877516,-0.10211969119915953,1
129.75,0.43148929217862975,-0.1807281971280302,-0.1785611954702282,-0.1040067274776114,-0.10221311157410307,-0.14686502966911308,-0.10143061955845617,1
130.0,0.43115421393468245,-0.17971293329812577,-0.1782904064371637,-0.10387867068089139,-0.1014902008329835,-0.14545941898927373,-0.10074154791775275,1
130.25000000000003,0.4308176680439057,-0.1787028290731924,-0.17801663550609978,-0.10374920373730674,-0.1007672900918639,-0.14404843888961286,-0.10005247627704927,1
130.5,0.4304796581964542,-0.1776979051882554,-0.17773980927805036,-0.10361829193629725,-0.1000443793507445,-0.1426321826181808,-0.09936340463634596,1
130.75,0.43014018829953143,-0.17669818264673254,-0.17745985419878002,-0.1034859004938849,-0.09932146860962496,-0.1412107443007221,-0.09867433299564254,1
131.0,0.42979926247763967,-0.175703682721427,-0.17717669654991816,-0.10335199454847173,-0.09859855786850551,-0.1397842189406757,-0.09798526135493918,1
