theta_deg,E_x,E_y,E_speed,E_speed_smooth,E_tangential_acceleration,E_normal_acceleration,target_large_acceleration_smoothed
202.5,0.9305840020845267,-0.26733814699887826,0.25174734152256434,0.2538348263351044,-0.201501140590466,0.9405074064410724,0.2067591872172343
202.75,0.9310514895147203,-0.2683300055994735,0.2508678908210035,0.2529782882495,-0.19105365819127992,0.9427469809736507,0.20265279636183856
203.0,0.9315335292081699,-0.26931071349022395,0.25003530854245604,0.25216756864339557,-0.1805020398405775,0.9448711218982611,0.19854084289815632
203.25,0.9320300642093899,-0.27028019853413543,0.24925009447025281,0.251403110798608,-0.1698514905305729,0.9468755612901905,0.19442381217750251
203.5,0.9325410370466777,-0.2712383890580594,0.24851272348486306,0.25068533476880633,-0.15910744803091756,0.9487561877221489,0.1903021895512175
203.75,0.9330663897354307,-0.27218521385611805,0.24782364425514677,0.25001463638231536,-0.1482755738505243,0.9505090650031105,0.18617646037064803
204.0,0.9336060637815137,-0.27312060219307766,0.24718327797384856,0.2493913862868185,-0.13736174308277524,0.9521304505981377,0.18204710998709625
204.25,0.9341600001846608,-0.2740444838076854,0.24659201714514914,0.24881592904077887,-0.12637203316476703,0.9536168135769404,0.17791462375190256
204.5,0.9347281394419306,-0.2749567889159483,0.24605022443197783,0.24828858225623618,-0.1153127115901572,0.9549648519330758,0.17377948701638826
204.75,0.9353104215511991,-0.2758574482143821,0.24555823157064363,0.24780963579745344,-0.10419022262380266,0.9561715091164225,0.16964218513188095
205.0,0.9359067860146952,-0.27674639288320557,0.24511633836006386,0.24737935103965056,-0.0930111730747507,0.9572339896286879,0.16550320344971467
205.25,0.9365171718425804,-0.2776235545894914,0.24472481173253366,0.2469979601918051,-0.08178231719199139,0.958149773530518,0.16136302732121702
205.50000000000003,0.9371415175565686,-0.2784888654902733,0.2443838849125659,0.24666566568719525,-0.07051054075523418,0.958916629717764,0.15722214209771565
205.75,0.9377797611935887,-0.2793422582356003,0.244093756669811,0.24638263964503485,-0.059202844439515845,0.9595326278380656,0.15308103313053187
206.0,0.9384318403094829,-0.280183665971555,0.2438545906715043,0.24614902340618747,-0.04786632653900323,0.959996148722705,0.14894018577100604
206.25,0.9390976919827553,-0.28101302234321157,0.24366651493921998,0.24596492714556467,-0.03650816514097973,0.9603058932274212,0.1448000853704594
206.5,0.9397772528183479,-0.28183026149756096,0.24352962141402343,0.2458304295634015,-0.02513559984582352,0.9604608893898604,0.14066121728021966
206.75000000000003,0.9404704589514657,-0.28263531808637476,0.24344396563332044,0.24574557765717797,-0.013755913132703867,0.9604604978276287,0.1365240668516144
207.0,0.9411772460514342,-0.28342812726903277,0.24340956652191875,0.2457103865755095,-0.0023764114740198817,0.9603044153185711,0.13238911943598397
207.25,0.9418975493255995,-0.2842086247152962,0.24342640629894785,0.24572483955487606,0.008995593696195816,0.9599926765236025,0.12825686038463063
207.5,0.9426313035232604,-0.2849767466080302,0.24349443050143613,0.24578888793959464,0.020352805053242388,0.9595256538362081,0.12412777504888838
207.75,0.9433784429396449,-0.2857324296458891,0.24361354812445313,0.24590245128497387,0.031687958385301,0.95890405535646,0.12000234878011025
208.0,0.9441389014199162,-0.28647561104593866,0.24378363187684934,0.24606541754312386,0.042993841423145496,0.9581289210108777,0.11588106692960484
208.25,0.94491261236322,-0.2872062285462401,0.24400451855076735,0.24627764333043098,0.05426331239091839,0.9572016168619114,0.11176441484871251
208.5,0.9456995087267613,-0.28792422040838106,0.2442760095022449,0.24653895427525374,0.06548931817583192,0.9561238276634897,0.10765287788875452
208.75,0.9464995230299247,-0.28862952541995335,0.24459787123943416,0.2468491454439582,0.07666491201731908,0.9548975477421029,0.10354694140103946
209.0,0.9473125873584173,-0.28932208289699335,0.24496983611420814,0.24720798184298073,0.08778327062085726,0.9535250702979072,0.09944709073690766
209.25,0.948138633368457,-0.2900018326863566,0.24539160311219146,0.24761519899420978,0.09883771060659484,0.9520089752349699,0.09535381124770588
209.5,0.9489775922909861,-0.29066871516805426,0.24586283873565887,0.24807050358058993,0.10982170420817469,0.9503521156438981,0.091267588284749
209.75,0.9498293949359189,-0.29132267125753797,0.24638317797313003,0.24857357415850176,0.12072889414439085,0.9485576030692144,0.08718890719935198
210.00000000000003,0.9506939716964239,-0.2919636424079296,0.2469522253490211,0.2491240619331456,0.1315531075928887,0.9466287917072371,0.0831182533428615
210.25,0.9515712525532334,-0.29259157061220764,0.24756955604629924,0.2497215915928649,0.1422883692026507,0.9445692616820198,0.07905611206661162
210.5,0.9524611670789869,-0.293206398405334,0.2482347170947429,0.2503657621980854,0.15292891309048567,0.9423828015536463,0.07500296872189813
210.75,0.9533636444426016,-0.29380806886634503,0.2489472286171863,0.2510561481203275,0.16346919377493604,0.940073390218283,0.07095930866008049
211.0,0.9542786134136768,-0.29439652562037344,0.2497065851259435,0.251792300026562,0.17390389600962752,0.9376451783543699,0.06692561723247362
211.25000000000003,0.9552060023669205,-0.2949717128406404,0.2505122568615539,0.2525737459040344,0.18422794348725763,0.9351024695700856,0.0629023797903988
211.5,0.9561457392866097,-0.2955335752503765,0.2513636911659647,0.25339999212057734,0.1944365063941415,0.9324497014060021,0.05889008168520912
211.75,0.9570977517710778,-0.2960820581247082,0.25226031388237646,0.2542705245153608,0.20452500780412536,0.9296914263357056,0.05488920826820678
212.0,0.958061967037223,-0.2966171072924866,0.25320153077409724,0.2551848095150019,0.214489128909734,0.9268322929036703,0.050900244890738494
212.25,0.9590383119250522,-0.29713866913806375,0.25418672895498257,0.2561422952699655,0.2243248130967793,0.9238770271313114,0.04692367690411283
212.5,0.9600267129022422,-0.2976466906030252,0.25521527832430435,0.25714241280623173,0.23402826887673625,0.9208304143109384,0.04295998965967015
212.75,0.9610270960687314,-0.29814111918786557,0.256286532999223,0.2581845771872863,0.24359597169955097,0.9176972812969407,0.039009668508731735
213.0,0.9620393871613312,-0.29862190295361557,0.25739983273838757,0.2592681886816078,0.25302466467645995,0.9144824793925886,0.03507319880263158
213.25,0.9630635115583678,-0.299088990523418,0.2585545043506237,0.26039263393096573,0.26231135824926327,0.9111908679209965,0.03115106589272278
213.5,0.9640993942843376,-0.29954233108405615,0.2597498630830776,0.2615572871150218,0.27145332884910367,0.9078272985533161,0.027243755130288445
213.75,0.9651469600145945,-0.2999818743874294,0.26098521398365426,0.2627615111079236,0.2804481165928609,0.904396600456576,0.02335175186666894
214.0,0.9662061330800518,-0.300407570751973,0.26225985323305895,0.264004658622803,0.2892935220704606,0.9009035663154717,0.019475541453204626
214.25,0.9672768374719097,-0.3008193710640392,0.2635730694422398,0.26528607334033383,0.2979876022805263,0.8973529392648805,0.01561560924121679
214.50000000000003,0.9683589968464004,-0.3012172267792197,0.26492414491149624,0.26660509101776225,0.3065286657749063,0.8937494007612787,0.011772440582039431
214.75,0.9694525345295539,-0.30160108992361656,0.2663123568480137,0.2679610405750925,0.31491526707591616,0.8900975594149747,0.007946520826981105
215.0,0.9705573735219849,-0.3019709130950703,0.2677369785390581,0.26935324515539827,0.3231462004313768,0.8864019407876977,0.004138335327382181
215.25,0.9716734365036933,-0.3023266494643342,0.2691972804785088,0.27078102315651104,0.33122049297421463,0.8826669781561676,0.000348369434602103
215.5,0.9728006458388879,-0.3026682527761939,0.2706925314448669,0.27224368923163766,0.3391373973539114,0.8788970042335681,-0.0034228915000823756
215.75000000000003,0.9739389235808237,-0.302995677350544,0.2722219995292895,0.27374055525674607,0.3468963839066529,0.8750962438319646,-0.007174962125318168
216.0,0.9750881914766565,-0.30330887808341545,0.2737849531126072,0.27527093126285435,0.35449713243087266,0.871268807443279,-0.010907357089764912
216.25,0.9762483709723143,-0.30360781044795093,0.2753806617906494,0.2768341263316446,0.36193952363301646,0.8674186857085718,-0.01461959104212677
216.5,0.9774193832173832,-0.303892430495323,0.2770083972475501,0.27842944945310233,0.36922363030690364,0.8635497447456847,-0.018311178631050657
216.75,0.9786011490700067,-0.30416269485561964,0.278667434077046,0.2800562103441555,0.3763497083079491,0.8596657222955395,-0.021981634505228012
217.0,0.9797935891018017,-0.30441856073867024,0.2803570505520442,0.2817137202275493,0.3833181873804244,0.8557702246455638,-0.025630473313318473
217.25,0.9809966236027832,-0.30465998593482135,0.28207652934302024,0.283401292570438,0.3901296618934309,0.8518667242908459,-0.029257209703975315
217.5,0.9822101725863067,-0.3048869288156709,0.2838251581860424,0.2851182437824156,0.39678488153770075,0.8479585582849669,-0.0328613583259027
217.75,0.9834341557940206,-0.3050993483347505,0.2856022305014179,0.28686389387292227,0.4032847420321053,0.844048927234993,-0.03644243382777299
218.0,0.9846684927008258,-0.3052972040281543,0.2874070459641492,0.28863756706817373,0.4096302758849898,0.8401408948952982,-0.039999950858220376
218.25,0.9859131025198543,-0.30548045601513174,0.2892389110275412,0.29043859238794517,0.4158226432517134,0.8362373883126438,-0.043533424065961744
218.5,0.9871679042074472,-0.3056490649986252,0.2910971394014353,0.2922663041827178,0.4218631229261606,0.8323411984760228,-0.04704236809962492
218.75,0.9884328164681556,-0.30580299226575425,0.29298105248664413,0.2941200426318487,0.42775310350004614,0.8284549814252148,-0.05052629760789499
219.00000000000003,0.9897077577597342,-0.30594219968826775,0.29488997976727505,0.29599915420356776,0.4334940747201072,0.8245812597754887,-0.0539847272394952
219.25,0.9909926462981569,-0.30606664972293895,0.2968232591626662,0.2979029920777248,0.43908761906964633,0.8207224246135286,-0.05741717164305973
219.5,0.9922874000626327,-0.3061763054119113,0.298780237340733,0.29983091653232175,0.44453540359727894,0.8168807377225755,-0.060823145467235516
219.75,0.9935919368006283,-0.3062711303830088,0.30076026999454053,0.301782295294952,0.4498391720121865,0.8130583341000653,-0.0642021633606949
220.0,0.9949061740329018,-0.30635108884998674,0.3027627220839502,0.30375650386035064,0.4550007370622034,0.8092572247276255,-0.06755373997215477
220.25000000000003,0.9962300290585359,-0.30641614561275377,0.30478696804417726,0.3057529257753202,0.4600219732074156,0.8054792995572357,-0.07087738995026842
220.5,0.9975634189599802,-0.3064662660575269,0.30683239196308587,0.3077709528923459,0.46490480959949976,0.8017263306831226,-0.07417262794370182
220.75,0.9989062606080978,-0.306501416156961,0.30889838772906053,0.3098099855932545,0.469651223374194,0.7979999756657168,-0.07743896860112734
221.0,1.0002584706672115,-0.3065215624702219,0.31098435915121625,0.3118694329842954,0.4742632332613857,0.7943017809786521,-0.0806759265712046
221.25,1.0016199656001592,-0.306526672143022,0.31308972005371527,0.31394871306403704,0.47874289351555704,0.7906331855528002,-0.08388301650263144
221.5,1.002990661673348,-0.30651671290760196,0.3152138943458824,0.31604725286548097,0.4830922881667924,0.7869955243927819,-0.08705975304408019
221.75,1.0043704749618119,-0.3064916530826791,0.31735631606979836,0.31816448857378893,0.4873135255908467,0.7833900322422404,-0.09020565084419141
222.0,1.0057593213542675,-0.3064514615733456,0.31951642942695196,0.3202998656210119,0.4914087333950102,0.7798178472775447,-0.09332022455163745
222.25,1.0071571165581763,-0.3063961078709285,0.32169368878551835,0.3224528387591879,0.4953800536150006,0.7762800148123109,-0.09640298881512249
222.5,1.0085637761048043,-0.3063255620527995,0.3238875586697363,0.3246228721131558,0.4992296382167807,0.7727774909947307,-0.0994534582833316
222.75,1.0099792153542793,-0.3062397947821496,0.32609751373281737,0.32680943921439937,0.5029596448961906,0.7693111464826417,-0.1024711476048799
223.0,1.011403349500651,-0.3061387773077189,0.3283230387147412,0.32901202301720583,0.506572233168227,0.7658817700841853,-0.10545557142846516
223.25,1.0128360935769476,-0.30602248146348066,0.3305636283862415,0.33123011589838236,0.510069560736904,0.7624900723516947,-0.10840624440276614
223.50000000000003,1.0142773624602301,-0.30589087966829376,0.3328187874802068,0.3334632196417359,0.5134537801361425,0.759136689117298,-0.1113226811764488
223.75,1.0157270708766468,-0.30574394492550216,0.3350880306116621,0.33571084540847573,0.5167270356316234,0.7558221849637484,-0.11420439639820462
224.0,1.0171851334064805,-0.3055816508225031,0.33737088218744493,0.33797251369465686,0.5198914603729824,0.7525470566212179,-0.1170509047166805
224.25,1.018651464489197,-0.3054039715302701,0.339666876306602,0.3402477542767308,0.5229491737855141,0.7493117362833684,-0.11986172078054878
224.5,1.0201259784284846,-0.30521088180283806,0.3419755566524963,0.3425361061462275,0.5259022791906518,0.7461165948385096,-0.12263635923850093
224.75000000000003,1.0216085893972944,-0.3050023569767478,0.34429647637753663,0.3448371174345405,0.5287528616438275,0.7429619450113402,-0.12537433473919654
225.0,1.0230992114428696,-0.30477837297045374,0.34662919798139685,0.3471503453287409,0.5315029859788623,0.739848044410797,-0.1280751619312953
225.25,1.0245977584917734,-0.3045389062836903,0.34897329318352077,0.3494753559792967,0.5341546950478289,0.7367750984818632,-0.13073835546348228
225.5,1.0261041443549095,-0.30428393399679876,0.35132834279066844,0.3518117244005263,0.5367100081456848,0.7337432633605404,-0.13336342998444253
225.75,1.0276182827325373,-0.30401343377002377,0.35369393656020587,0.3541590343645706,0.5391709196087414,0.7307526486292075,-0.13594990014282934
226.0,1.0291400872192766,-0.3037273838427629,0.35606967305977616,0.3565168782896154,0.5415393975767099,0.7278033199719014,-0.13849728058730237
