theta_deg,theta_rad,normalized_t_deg,small_target_q,small_mechanism_q,small_target_dq,small_mechanism_dq,small_target_ddq,small_mechanism_ddq,small_hp_window,large_target_q,large_mechanism_q,large_target_dq,large_mechanism_dq,large_target_ddq,large_mechanism_ddq,large_hp_window
172.0,3.001966313430247,187.99999999999997,0.7348234957351615,0.7254873586101767,0.869028836611405,0.8034065651894619,-0.12762047856734393,0.19663200045651474,0,0.02004364397134306,0.039157388095384604,0.14013925477773445,0.1746197009660534,0.5220204853134448,0.28534916066421306,0
172.25,3.0063296365602326,187.75,0.7386140215821753,0.7289946855840317,0.8683943039523038,0.8042179882874206,-0.16326935083842728,0.175027586775044,0,0.02066008666565633,0.03992201766294434,0.1424173829361337,0.1758586442894985,0.5221857076586435,0.2825555384868123,0
172.5,3.0106929596902186,187.49999999999997,0.7424014386292573,0.7325053456958905,0.8676036926329994,0.8049339690249842,-0.19915894001249176,0.15288132725974743,0,0.021286470936132673,0.04069202664151361,0.14469609051838178,0.1770854631992236,0.5222861545335327,0.279791971616574,0
172.75,3.015056282820204,187.25,0.7461850636152318,0.7360189173218784,0.8666559880185577,0.8055521295501714,-0.23527288667956378,0.1301871407781882,0,0.021922798695908297,0.041467362415940845,0.14697509594704103,0.17830028985217636,0.5223223112894404,0.27705891987721043,0
173.0,3.01941960595019,186.99999999999997,0.7499642090074781,0.7395349684058341,0.8655502468554351,0.8060700661501525,-0.27159483142971946,0.10693926920552113,0,0.02256907063412772,0.04224797295207472,0.1492541197624227,0.17950325838616185,0.5222946632776949,0.27435683136171823,0
173.25,3.023782929080176,186.75000000000003,0.7537381833133804,0.7430530563497053,0.8642855972714824,0.8064853507238279,-0.3081084148529847,0.08313230687356685,0,0.02322528622518072,0.043033806805267916,0.1515328846225785,0.18069450486847677,0.5222036958496243,0.2716861423552051,0
173.5,3.0281462522101616,186.49999999999997,0.757506291391798,0.7465727279104796,0.8628612387759383,0.8067955323850136,-0.3447972775394362,0.05876123119316655,0,0.023891443737946938,0.04382481312869424,0.1538111153033091,0.18187416724423203,0.5220498943565564,0.2690472772584327,0
173.75,3.0325095753401476,186.25000000000003,0.7612678347645156,0.7500935191046155,0.8612764422594371,0.806998139202251,-0.38164506007910015,0.033821434384820506,0,0.02456754024503205,0.04462094168143671,0.15608853869815556,0.18304238528431963,0.5218337441498194,0.26644064850762206,0
174.0,3.036872898470133,185.99999999999997,0.7650221119277131,0.7536149551201672,0.8595305499940025,0.8070906800788947,-0.41863540306205177,0.008308756281542302,0,0.02525357163201214,0.045422142836325285,0.15836488381840788,0.1841993005330355,0.5215557305807416,0.26386665649719787,0
174.25,3.041236221600119,185.75000000000003,0.7687684186634158,0.7571365502376073,0.8576229756330516,0.8070706467791804,-0.45575194707832056,-0.01778048178556246,0,0.025949532606670322,0.04622836758756843,0.16063988179309643,0.18534505625537212,0.5212163390006508,0.2613256895028382,0
