index,label,feasible,small_60_deg,small_90_deg,large_150_deg,large_210_deg,small_60_flattening_fraction,small_90_flattening_fraction,large_150_flattening_fraction,large_210_flattening_fraction,indicated_thermal_efficiency,indicated_power_w,heat_input_w,heat_out_w,maximum_tube_reynolds,maximum_tube_mach_number,maximum_absolute_mass_flow_kg_s,cold_isothermality_error,hot_isothermality_error,pressure_equalization_error,small_max_abs_dV_dtheta,large_max_abs_dV_dtheta,small_max_abs_d2V_dtheta2,large_max_abs_d2V_dtheta2,convergence_cycles
26,sobol,True,-0.8470136709697544,-0.7917909118905664,-0.6812438091076911,-0.7070322157628834,-9.070026451859263,-2.4524645378849916,-1.3792285992744422,-1.18674131150759,0.14286642179449247,40.820156087931394,285.72253420505996,-244.92223978501477,689.2321770641263,0.040153661539149364,0.013247657357644686,0.042834763873819785,0.06860909237716148,0.021845321465414087,0.0004639756675491864,0.0005468990909740648,0.0008023114664570681,0.0022348487865479594,22
27,sobol,True,-0.9021020170859992,-0.9713140007480979,-0.8695149525441229,-0.8693709028698504,-5.443943611018689,0.5243368286645885,0.0260463465332609,0.024971145126864224,0.1818454816580762,49.01422677705222,269.5377764140085,-220.43997776784164,779.4523307399476,0.03905501027570264,0.014981769203296556,0.039246954005601624,0.040963753282356845,0.02147089526146662,0.00041993986066271,0.000494127602720454,0.0009684468323298305,0.0005066497650950799,22
28,sobol,True,-0.9673054972663522,-0.7460720028728247,-0.7562538512982429,-0.7429620886780322,-1.1520518169510985,-3.210562628260288,-0.8193460222083937,-0.9185570890499345,0.15013560533972184,47.32673708990707,315.22660452740513,-267.81012298032584,642.0358565799663,0.03815097098178352,0.012340501970647183,0.036128566091227346,0.06161446521940508,0.021207105317753966,0.0004527030521876008,0.0005289704832023733,0.0011372524547433338,0.0016771593099806361,25
29,sobol,True,-0.8024353977292776,-0.9165360757708549,-0.9444325836934149,-0.9280599250085652,-12.004304263186198,-0.38397531640112575,0.5852391581969858,0.4630319700633002,0.17044900885694025,43.38572066444006,254.53782896944958,-211.18229496734614,905.4535916433172,0.04028099026165019,0.01740362585280659,0.040827071238524394,0.053582710956036624,0.021914734916182954,0.00043962560167801835,0.0004953303658725882,0.001116239208995055,0.0011405314927979205,22
30,sobol,True,-0.8170367049425841,-0.7556720523163676,-0.8259423913620412,-0.9874163468927145,-11.043201720222047,-3.0513773085092404,-0.29918367776160426,0.9060743345175772,0.14541744778317706,40.96182382576679,281.6843814150997,-240.7411872336284,849.33086562177,0.0404326820761346,0.016324896987480776,0.03296543653310975,0.05432738630653396,0.022021865322437318,0.0004754467113302515,0.0005252359407802048,0.000940719606262146,0.0013183542845132815,22
31,sobol,True,-0.9802048194780946,-0.8654504384472966,-0.6376680769585072,-0.7786156333982944,-0.3029791141371044,-1.2310629860908329,-1.7044822919899758,-0.6524354083180387,0.150417672802276,47.42982330114704,315.3208158159283,-267.80386939428183,577.1367434764765,0.03898268669545246,0.011093083115549143,0.04319800309671105,0.05849662924362813,0.021165162040363412,0.0004258999294329369,0.0005559631398413741,0.0007085802449951472,0.0020881719352637495,26
32,sobol,True,-0.9442169487290084,-0.8500546152889729,-0.988437785115093,-0.8574217082560063,-2.671810451463613,-1.4863521954538945,0.9136984532029955,-0.06421885768992514,0.17191620305127758,45.13701392894641,262.552412907138,-217.47120126693312,935.3685717166527,0.04045140452402295,0.017978618459159393,0.04332814277219577,0.047043582052863256,0.021490904258621435,0.0004349877257304075,0.0005294829296110025,0.000623422631231447,0.0013698436834766788,22
33,sobol,True,-0.8873997883684933,-0.9502976039797068,-0.8002566065452993,-0.6239714451879264,-6.411689114980024,0.17584884854887436,-0.49090498569832824,-1.8067153433107135,0.16806443490616133,46.42990705062243,276.2625363096395,-229.84963890814583,753.8977983519454,0.04074132192193299,0.014490588291730397,0.03777297523422661,0.07542583323614412,0.021291724415145163,0.0004244541193504069,0.0005583296298915744,0.0009000097430262647,0.0020447362069304924,32
34,sobol,True,-0.8838962618447841,-0.7638255798444151,-0.6455546065792441,-0.7352205373719334,-6.642301908895533,-2.9161778083103926,-1.6456164335100019,-0.976340814657458,0.14056814213700378,42.96247275316384,305.63449228268775,-262.72408327862905,623.4552488405229,0.039763355726116674,0.011983366112774946,0.044060021291791464,0.06735162538729339,0.021573769457939797,0.00046320499559488875,0.0005556612622739091,0.0009558166634374798,0.0022703512601150696,22
35,sobol,True,-0.9407370043359697,-0.8736346596851945,-0.834383930824697,-0.9298741283640265,-2.900870997664252,-1.0953545314281983,-0.236175169424146,0.47657336825898755,0.16738496226009775,48.13218241377528,287.55380270650113,-239.49601789116912,746.4724268624246,0.03928724655899782,0.014347866026984414,0.034697694218170046,0.04612414599573909,0.021590237073326843,0.0004311417163126764,0.0004979034532654968,0.0005172593146191494,0.0008965026733737507,30
36,sobol,True,-0.9836033959314228,-0.858243134021759,-0.7680646487697959,-0.6762727954611183,-0.0792744537231998,-1.350572480939741,-0.73118902972491,-1.4163327502626963,0.15963142194215418,48.51653779700927,303.9284948209649,-255.32366586454302,635.8198501526482,0.03944700597418469,0.012221024781359826,0.0368610948019922,0.06773467384297388,0.021163166397346077,0.0004267601891182993,0.0005464021730484109,0.000761027354483067,0.0019506207938124315,25
37,sobol,True,-0.8204050771892071,-0.9584468507021665,-0.956801561973989,-0.8941826810315251,-10.821485192750522,0.3109773656334899,0.6775624689586232,0.21016877857785982,0.1802879962197901,46.06770127243723,255.52284255395372,-209.53128162444045,871.5957864332627,0.03945102673607772,0.016752848629643158,0.04273118659976824,0.050306191318695195,0.02168097855868694,0.00042873931814073536,0.0005032565766390515,0.0012442048401840827,0.0011864600566612908,28
38,sobol,False,-0.805807776004076,-0.8000480299070477,-0.8853787633776664,-0.8110864062421024,-11.782324046730507,-2.315547329342924,0.14445544259815274,-0.41007026028980076,0.15693905950963033,37.95075076338005,241.81839041192455,-203.87550939629384,943.579280963551,0.041501433442165246,0.018136435616259463,0.036049068423454816,0.04968011744250331,0.02229600297426054,0.00046838947471298435,0.0005068272453525569,0.0010173311677055207,0.0006837658641941707,22
39,sobol,True,-0.9707013265416026,-0.9795313502475619,-0.6965518853068351,-0.6643793978355825,-0.9285279841711843,0.6605946068428163,-1.2649675629917598,-1.5051062786889333,0.15988252955399468,47.392458278772686,296.4204932895283,-249.0145921278013,730.1038894624614,0.039795956010157243,0.014033248134586847,0.04129471043202456,0.07082480749498067,0.02106834943015351,0.00041344810734018493,0.0005517418510785861,0.0007203441206608901,0.0023722355756163474,52
40,sobol,True,-0.8986264721117914,-0.7542936164885758,-0.9053741571307182,-0.9655631758831441,-5.67271457406324,-3.0742341437051173,0.29370309340562223,0.7429600454891613,0.15079201245979507,42.99906658596901,285.15480286088524,-242.18911329248766,892.9196164195813,0.03982073188265336,0.01716271166652969,0.0364346521056933,0.05235893634069813,0.021773704261569923,0.0004626280995761894,0.0005126908180226232,0.001008162969268209,0.0012681009386948728,22
41,sobol,True,-0.8435078431107104,-0.9247889463603497,-0.7166404148936272,-0.7945211608521641,-9.300790726680573,-0.24712853749871297,-1.1150247368572423,-0.5337149351599925,0.1627968072660779,45.55106611359071,279.80319072929524,-234.33053723109202,758.1201320311769,0.039200846045876585,0.014571745312098146,0.038300472220999165,0.05376808503599985,0.021568805195115073,0.0004311999720022551,0.0005348598962560666,0.0009394609108584439,0.0016153250880128246,30
42,sobol,True,-0.8565175521746278,-0.8296687788888812,-0.9315746426396072,-0.6296778439730406,-8.44445202481695,-1.8243844008946544,0.48926617960991386,-1.7641222029221222,0.16248657162122757,41.1093325140668,253.00141484858676,-211.90699064388264,912.942047622948,0.04102368639900611,0.01754756065773478,0.04037344464481542,0.068924591081377,0.021797233052893602,0.00045502384402054175,0.00054543043188418,0.0008007360770168208,0.0013891425424117467,22
43,sobol,True,-0.9131165503710509,-0.9301462053135038,-0.7398475980572403,-0.8513508747518063,-4.718933459860502,-0.158295976326791,-0.9418039635229197,-0.10953217585385683,0.16682713572614333,47.54310434155654,284.98423913242374,-237.46358984354723,721.7791247433605,0.038957974032453234,0.013873238729553802,0.03530888395402569,0.04507413438816878,0.021466460243180583,0.0004264884695919001,0.0005263340788419324,0.0006554470768466105,0.0012109301786199004,32
44,sobol,True,-0.9561978344805538,-0.7748999308049679,-0.8626006722263992,-0.7846881996095181,-1.8831920356905667,-2.732546035468155,-0.0255625443537756,-0.6071091570528133,0.16012294408126795,47.25003517060736,295.0859756027614,-247.86244427934747,777.2047723385635,0.038559447204089235,0.0149385691256106,0.036019346938741106,0.04904214046437431,0.02137757334455577,0.0004485020236725187,0.0005145341837234917,0.0009575259748485756,0.0009308449402669319,32
