index,label,feasible,k_i,k_o,indicated_thermal_efficiency,indicated_power_w,heat_input_w,heat_out_w,maximum_pressure_pa,maximum_temperature_k,maximum_absolute_mass_flow_kg_s,maximum_tube_reynolds,maximum_tube_mach_number,cold_isothermality_error,hot_isothermality_error,pressure_equalization_error,convergence_cycles,constraint_power_ok,constraint_pressure_ok,constraint_temperature_ok,constraint_mass_flow_ok,constraint_validity_ok,hi_tube_length_m,ho_tube_length_m,hi_working_gas_volume_m3,ho_working_gas_volume_m3,hi_wall_capacity_j_k,ho_wall_capacity_j_k,hi_static_conductance_w_k,ho_static_conductance_w_k,hi_internal_area_m2,ho_internal_area_m2
41,sobol,True,0.9165337202139199,0.7929452810436487,0.20307732299759745,52.19799763992149,257.03508825817556,-204.7690789304478,488686.6690729809,580.1510650578983,0.01026993239442197,534.3109103304374,0.04107777286952529,0.02977979056778676,0.06154010528554658,0.015041168981950716,24,True,True,True,True,True,0.03879992748905594,0.033568016897514465,3.7561442172815095e-05,3.5902169348708304e-05,134.914624780885,116.99197702959681,11.084514009259408,9.589841467319944,0.1491538445189708,0.12904144665100972
42,sobol,True,0.7221575295552611,1.494640199840069,0.1828493485367831,48.98810608487572,267.915125084632,-218.9486078909275,464078.76926767343,573.811051896128,0.010075302749190471,524.1849680236103,0.0414541814139458,0.0391186334798568,0.04025475529689316,0.02794795407059689,22,True,True,True,True,True,0.03057133541783939,0.06327310179322959,3.4951787637337355e-05,4.532298020601373e-05,106.72642190526862,218.7509355769283,8.733737861143982,18.076105514222316,0.11752166833136185,0.24323309340622704
43,sobol,True,1.2727734087966383,0.5562320083379746,0.2052345124278402,51.60296665918265,251.43415719286534,-199.77976059403113,500029.835676016,589.3834040578165,0.010244680004619752,532.9971112843433,0.040653964321730095,0.021113807931598453,0.07895929451549955,0.010682849682840407,27,True,True,True,True,True,0.05388074097239102,0.023547155019640924,4.2344242555294216e-05,3.2724105905696675e-05,186.57607868678159,82.66410111141828,15.392859388879167,6.727042718495648,0.20712718248841475,0.09051946552359603
44,sobol,True,1.557619018945843,1.3394197750836612,0.19044608448529624,58.44927744992398,306.9072152777007,-248.45318585356233,473532.7596414405,588.6284246567079,0.010052758556756134,523.0120676071676,0.040568066956131285,0.020916331194114544,0.04334964172470614,0.024917072387091517,22,True,True,True,True,True,0.06593920513537402,0.05670210381187499,4.616852080623587e-05,4.323902288546061e-05,227.88404865937264,196.24105507846474,18.837768273887754,16.198877284873564,0.2534820703786166,0.21797300467224978
45,sobol,False,0.6086013745516539,0.4021873030811548,0.20003929128003348,39.812929230660664,199.02554631093372,-159.21004593442547,504956.5077122455,577.3102398002972,0.010639574974907784,553.5422018415227,0.04135045552958584,0.03504292157728798,0.09957563722870581,0.008033267450239015,23,False,True,True,True,True,0.025764124856020015,0.017025929163768886,3.342720618560503e-05,3.0655933551986214e-05,90.25864401451989,60.3247220497146,7.36039527350702,4.8640335833021044,0.09904189315884883,0.06545070972104501
46,sobol,True,1.1589117306284606,0.9105262801051139,0.20141601637137282,55.535636708778895,275.72602074693873,-220.17108505079952,486172.8492429328,584.612858362247,0.01022031020064389,531.7292302850499,0.0408393806827345,0.025249021463566147,0.05604262577321931,0.017136240048347545,22,True,True,True,True,True,0.04906059659660483,0.038545612524449824,4.081555921274176e-05,3.7480787524355156e-05,170.0639941918293,134.04343299563436,14.01582181902481,11.011860322245793,0.1885976874271729,0.1481762124164261
47,sobol,True,1.7567561278119683,0.6482671469449997,0.20290484242726003,55.40396059666832,273.0539100688553,-217.64390829749775,495112.36959202983,593.7829694055433,0.010158868298382438,528.5326095606932,0.04037359770896894,0.016390399332012886,0.06997859962541504,0.012303191016303434,22,True,True,True,True,True,0.07436934274403999,0.027443309220671654,4.884209444492811e-05,3.3959750642201064e-05,256.7626742037919,96.01092692351644,21.246122734075847,7.8401111858463,0.2858890235748862,0.10549697748122501
48,sobol,True,1.771336134057492,0.9615444660186767,0.19847452439422672,58.861505040909044,296.5695734531319,-237.70875077798306,484128.8929532276,592.2045715581784,0.010115401776618271,526.2711889475132,0.040413848472673236,0.01767496369401155,0.0533941337082571,0.017994618920370454,22,True,True,True,True,True,0.07498656300843383,0.04070538239479065,4.903784259338701e-05,3.816574713700123e-05,258.87704928534856,141.44202934637192,21.422452616893338,11.628871768757437,0.288261728404691,0.15647875317577253
49,sobol,True,1.243804127909243,0.6249711290001869,0.20527910087760665,52.956789623012945,257.9745789835046,-204.97355574700953,497014.801254851,588.2320048225316,0.010248922451493588,533.2178318854272,0.04070045396104229,0.022101514080650937,0.07268031588483266,0.01192939927861102,22,True,True,True,True,True,0.052654374748157956,0.02645711112767458,4.195530698144053e-05,3.364698312328713e-05,182.37498819289175,92.63256624159754,15.042506321935209,7.558370283603265,0.20241281189624882,0.10170585603984393
50,sobol,True,0.6643796698190272,1.2873398546129464,0.1877780916246944,48.28664879009164,257.14740400387336,-208.89179980843608,468563.18990879285,572.8069729037123,0.010140898918490985,527.5977216413637,0.04155521411713996,0.04076354983204348,0.04408865861058004,0.024172383446345938,22,True,True,True,True,True,0.028125406022338817,0.054497387178614735,3.4176074041963715e-05,4.253980864423499e-05,98.34754573506974,188.68848725109913,8.034975249854753,15.569025272528599,0.10811907929652989,0.20949768053618167
51,sobol,True,1.5899598728865385,0.42573939152061935,0.2016047576520584,48.320728627633834,239.6804975755019,-191.37711481926755,505803.21575529367,594.5768996151871,0.010248097072352852,533.1748901149153,0.0403886633615001,0.016186687148807215,0.09518759845107756,0.00830966359766691,22,True,True,True,True,True,0.06730830128553013,0.018022967574372887,4.660272242260446e-05,3.097213902040161e-05,232.57408064817682,63.740217768745,19.228896980525388,5.14887138958994,0.25874512027399343,0.06928350327759526
52,sobol,True,1.328551790677011,1.4332865595817565,0.18836595512996332,56.948113903011645,302.32699886622413,-245.36428195946908,470963.1136517584,585.1880275878816,0.010056133786882582,523.1876697642389,0.040737817430725964,0.0242000298741726,0.04171322080621018,0.0266670993600049,22,True,True,True,True,True,0.0562420258053268,0.06067579768896103,4.3093111574501126e-05,4.449925892088296e-05,194.66499296784508,209.8535039887357,16.067440412720284,17.3340975880943,0.21620438272122572,0.23324859298039946
53,sobol,True,0.7544982968829572,0.5705275431275367,0.20422244000052722,46.89743135721992,229.63897286262397,-182.76201069531666,495741.31849006,578.368386283716,0.010410698582172806,541.6345135473141,0.04122247349535221,0.032521978434398906,0.07742281904464193,0.0110356085531874,23,True,True,True,True,True,0.03194042790137852,0.02415233265906572,3.5385988090857725e-05,3.291603479922137e-05,111.41644133355909,84.73722248239551,9.124865520288237,6.899932217430581,0.1227847041316088,0.09284587635419835
