index,label,feasible,small_min_deg,small_max_deg,large_max_deg,h_s_low_before,h_s_low_after,h_s_high_before,h_s_high_after,sector_smin_to_lmin_deg,sector_lmin_to_smax_deg,sector_smax_to_lmax_deg,sector_lmax_to_next_smin_deg,indicated_thermal_efficiency,indicated_power_w,heat_input_w,heat_out_w,maximum_tube_reynolds,maximum_tube_mach_number,maximum_absolute_mass_flow_kg_s,cold_isothermality_error,hot_isothermality_error,pressure_equalization_error,small_max_abs_dV_dtheta,large_max_abs_dV_dtheta,small_max_abs_d2V_dtheta2,large_max_abs_d2V_dtheta2,convergence_cycles
37,sobol,True,79.09631668776274,244.67028348520398,365.28309238608927,0.7340176869183779,-0.23614739626646042,-0.9954459719359875,-0.3406924802809954,100.90368331223726,64.67028348520398,120.61280890088528,73.81322430167347,0.1891587675934028,50.14292270235009,265.0837882922372,-214.87652801559867,635.6184754543026,0.048871564613483236,0.012217154179996517,0.03267183879374505,0.04514029598917697,0.02426434879889434,0.00045682707141161066,0.0005658842212089983,0.0009806794957670825,0.00104848416788841,22
38,sobol,True,79.04766160622239,238.05284832976758,368.55635032523423,0.49341581016778946,0.1377403475344181,-1.1368486370891333,-0.9581648603081704,100.95233839377761,58.052848329767585,130.50350199546665,70.49131128098816,0.17292123861893433,42.70494576336008,246.96183131945264,-204.2839676523047,645.9312856050209,0.05021905652446088,0.012415375591906084,0.028278660568635806,0.05993916370146953,0.02150149080020282,0.000529915668069907,0.0005850826141648236,0.0011387369609614979,0.0011660673875587557,22
39,sobol,True,70.06862550601363,248.66139918379486,356.8750766804442,-0.27383518405258656,-0.9655361082404852,-0.39190533645451064,-0.3774519123136997,109.93137449398637,68.66139918379486,108.21367749664932,73.19354882556945,0.14707452486071473,51.937144135343694,353.13487624406866,-301.16941693951526,627.7907256246468,0.04210864297256192,0.012066697844561974,0.0467194153708272,0.04815008898348889,0.020744843476653164,0.00040761751285801337,0.0004732494070199349,0.0008302803747441921,0.0009401074872721129,22
40,sobol,True,72.96968587860465,232.14467107877135,365.55563068017364,0.9197700154036283,-0.023756910115480423,-0.6779614437371493,-1.2668952617794276,107.03031412139535,52.14467107877135,133.41095960140228,67.41405519843102,0.15796199151848486,52.05920588836125,329.567925726419,-277.49846963195534,685.2858902950032,0.05376593047584594,0.013171806205170875,0.04191965651819129,0.06380808485970021,0.02112708922181287,0.0004964347514413471,0.0006396263830813242,0.0008922880500562214,0.0010560312097362935,22
41,sobol,False,76.1347565986216,245.00267248228192,361.76633176393807,-0.8251402154564857,0.8221932966262102,-1.433165195211768,-0.6874537523835897,103.8652434013784,65.00267248228192,116.76365928165615,74.36842483468354,,-85.35655612014726,69.55789314141663,-154.93410579436164,721.9570122770584,0.04096505018960062,0.013876657886657966,0.03384440751453341,0.15461608112297232,0.018238885146951114,0.0005991070255792751,0.0006757449545385996,0.0011496073549791244,0.0012285257089927689,23
42,sobol,False,74.33480224758387,236.34453524276614,356.40951389912516,-0.7168178595602512,0.7421755883842707,-0.9927234414964915,-1.393332565203309,105.66519775241613,56.34453524276614,120.06497865635902,77.92528834845871,,-19.944270326811054,151.66703615840296,-171.60894400483127,800.0287180675256,0.04603626760749011,0.015377265725433789,0.02124395829295219,0.11820024210465747,0.018875765030916352,0.0005680554864927416,0.0005967634886596607,0.0010229107285250549,0.00123353825156304,22
43,sobol,True,71.03148627281189,241.50373417511582,368.08530192356557,0.5616922173649073,-0.41236236318945885,-0.5383983056992293,-0.8523183848708868,108.96851372718811,61.503734175115824,126.58156774844974,62.94618434924632,0.166515531963971,56.081958994260866,336.7971644014285,-280.70577227444437,636.0859060081937,0.0481543594352461,0.012226138612271313,0.04370652082043614,0.051475552478702336,0.022015314412029235,0.000456783902008686,0.0005479607308166205,0.000713235588644036,0.0008398432688827052,22
44,sobol,True,68.30754664540291,239.44076207838953,359.4212197884917,-0.13536188565194607,-0.5963309686630964,-0.8338122110813856,-1.1019153401255608,111.69245335459709,59.440762078389525,119.9804577101022,68.88632685691118,0.16847759014239977,56.95882389718959,338.0795264761749,-281.1090448141033,593.5509335531555,0.043578659837632115,0.011408578493123286,0.041415028234937,0.04802217135162532,0.02026347586942423,0.00042103123755840496,0.0005276146561963737,0.0008436434148366702,0.0010472753146709823,22
45,sobol,False,77.04689723998308,246.8494118284434,363.21235741488636,0.10518623515963554,0.2999044172465801,-1.2796341363340615,-0.5624678559601307,102.95310276001692,66.84941182844341,116.36294558644295,73.83453982509673,0.09344640833483187,17.015536652339726,182.08871753926186,-165.0748430070262,612.8020282098191,0.04699207660902328,0.011778601707734952,0.02083945833728199,0.07375218429148105,0.02239988563386398,0.0005289301555014783,0.000604799288585004,0.0010652438328856882,0.001169915664493236,22
46,sobol,True,77.86800197511911,233.57264586538076,360.577898719348,0.7063591536134481,-0.8241142313927412,-1.4103932663798333,-1.4497040558606387,102.13199802488089,53.572645865380764,127.00525285396725,77.2901032557711,0.1485867980331986,50.48271568246623,339.7523625967559,-289.2636439842705,654.7545946276354,0.05284786592667466,0.012584967463240518,0.043241443036187946,0.06890835662232225,0.0214665182060061,0.0005100326549085034,0.0006570760363362684,0.0013395428424481993,0.0012049733800886542,22
47,sobol,True,68.986561357975,244.14597596228123,363.9316513715312,-0.5492188781499863,0.0257345549762249,-0.6655896149575711,-0.7952694039791822,111.013438642025,64.14597596228123,119.78567540924996,65.05490998644382,0.1875255160262706,52.4484030475315,279.6867549490383,-227.1761420236274,651.499690774812,0.038684028395704055,0.01252240530725129,0.0342745997174412,0.04583167636882393,0.018780316785682486,0.0004196475283756857,0.0004970013551834417,0.000731429865059385,0.0008617850108112625,22
48,sobol,False,71.89934012293816,236.6600747872144,355.71981739252806,0.13265272974967957,0.967517564073205,-0.369230677932501,-1.1597333639860152,108.10065987706184,56.6600747872144,119.05974260531366,76.1795227304101,,-27.70347596924718,148.42377238517815,-176.12361403669138,1018.2631467919934,0.0550931182359296,0.019571926148425175,0.024806038194918882,0.14218214020789532,0.022496985029795576,0.0005676799284764468,0.000604225874219506,0.0007633760647004151,0.001121894697615394,22
49,sobol,True,74.9668160751462,249.48285570181906,366.8991399835795,-0.10058451630175114,-0.13965746387839317,-1.124281118810177,-0.5040089629590512,105.0331839248538,69.48285570181906,117.41628428176045,68.06767609156668,0.19365830306046117,48.91495588679152,252.58382994051127,-203.74146435098606,587.9516820652096,0.04175090689402341,0.01130095588402289,0.030463530029638877,0.04714972901304585,0.02103065782942297,0.0004583162290491532,0.0005500749530609146,0.0009397524606189668,0.0011371207041525734,25
50,sobol,True,76.90898776426911,240.82465207763016,364.39718515146524,-0.48832581751048565,-0.29792677238583565,-1.2639174945652485,-0.9753514230251312,103.09101223573089,60.82465207763016,123.57253307383507,72.51180261280388,0.19554124327930913,53.79822639288832,275.1247025469889,-221.29822970522994,593.6269876737264,0.03946310780649466,0.011410040321174108,0.033491583330605965,0.05222403748224922,0.018591797908643792,0.0004962349753727694,0.0005514382027614049,0.0011352528449785604,0.0011775758599550047,22
