theta_deg,E_x,E_y,E_speed,E_projected_velocity,E_projected_acceleration,target_velocity,target_acceleration
25.5,2.0637085493422536,-0.1699971723430886,0.9747656608358758,-0.9647897649602033,0.023089674634564548,-1.167396424443633,1.7142520566655146
25.75,2.0599761576579696,-0.16795427574178745,0.9755423130180149,-0.9646739499606564,0.029859753982611238,-1.1598172533067541,1.757021176210077
26.0,2.0562551979432078,-0.16588361438677263,0.9763271503339046,-0.9645291894497873,0.036360340237807987,-1.1520635221675684,1.7941773580341682
26.250000000000004,2.05254564504743,-0.16378558722369707,0.9771195294297932,-0.9643566461335088,0.0425974427920257,-1.1441601021755394,1.8255463824116356
26.5,2.0488474698554713,-0.16166058968467217,0.9779188213525162,-0.9641574566349619,0.048577006639325127,-1.136132624657091,1.8509540296163767
26.75,2.0451606394168915,-0.15950901367101356,0.9787244115678371,-0.9639327317801991,0.05430491031582247,-1.1280074811156082,1.8702260799222132
27.0,2.0414851170727726,-0.15733124753872513,0.9795356999573646,-0.9636835568924562,0.05978696402027423,-1.1198118232314365,1.8831883136029413
27.25,2.0378208625799767,-0.15512767608660105,0.9803521007953798,-0.9634109920942365,0.0650289079074806,-1.1115735628618828,1.889666510932382
27.5,2.034167832232869,-0.15289868054684103,0.9811730427068597,-0.9631160726164754,0.07003641054637799,-1.1033213720412147,1.8894864521844845
27.75,2.0305259789825367,-0.15064463857805133,0.9819979686079454,-0.9627998091140801,0.07481506753602706,-1.09508468298066,1.9184807256515173
28.0,2.026895252553511,-0.148365924260554,0.9828263356300486,-0.9624631879871726,0.07937040027163378,-1.0865794693918802,1.9787471667852201
28.25,2.0232755995580223,-0.14606290809387468,0.9836576150287528,-0.9621071717073972,0.0837078548533393,-1.0778168564182042,2.036493632596017
28.500000000000004,2.019666963607799,-0.14373595699632397,0.9844912920786145,-0.9617326991486864,0.08783280113157017,-1.06880770984953,2.0917813402639243
28.75,2.0160692854234465,-0.14138543430657174,0.9853268659549276,-0.9613406859218996,0.09175053188187512,-1.0595626206085116,2.1446750624737336
29.000000000000004,2.012482502941424,-0.13901169978712374,0.9861638496034665,-0.960932024712789,0.09546626210277318,-1.0500918892367392,2.195243127414888
29.25,2.008906551418642,-0.13661510962960438,0.9870017695991828,-0.960507585622767,0.09898512843042978,-1.040405510380928,2.2435574187813265
29.500000000000004,2.0053413635347135,-0.13419601646176388,0.9878401659947875,-0.9600682165119788,0.10231218866414347,-1.0305131572790995,2.2896933757717393
29.75,2.0017868694918857,-0.13175476935612002,0.9886785921600987,-0.9596147433442115,0.10545242139713443,-1.0204241662467677,2.3337299930893654
29.999999999999996,1.9982429971126783,-0.1292917138401568,0.9895166146130072,-0.9591479705331886,0.108410725746528,-1.0101475211631226,2.375749820942042
30.25,1.99470967193526,-0.1268071919079996,0.9903538128428602,-0.9586686812898347,0.11119192117707577,-0.9996918379572155,2.415838965042256
30.5,1.9911868173065894,-0.12430154203348681,0.9911897791270282,-0.9581776379701096,0.11380074741423725,-0.9890653490941428,2.4540870866070668
30.750000000000004,1.9876743544733628,-0.12177509918456886,0.9920241183413796,-0.9576755824230303,0.11624186444064313,-0.9782758880612312,2.490587402358185
31.0,1.9841722026707838,-0.11922819483895936,0.9928564477653488,-0.9571632363385365,0.11851985257136001,-0.9673308738542212,2.525436684521983
31.250000000000004,1.9806802792091982,-0.11666115700097524,0.9936863968822528,-0.956641301594856,0.12063921260378344,-0.9562372954634523,2.5587352608292915
31.5,1.9771984995586265,-0.11407431021948944,0.9945136071754653,-0.9561104606050618,0.122604366037109,-0.9450016963600477,2.5905870145157435
31.750000000000004,1.97372677743122,-0.1114679756069426,0.9953377319210326,-0.9555713766625221,0.12441965535731,-0.9336301589820973,2.6210993843215076
32.0,1.9702650248616758,-0.1088424708593469,0.9961584359772732,-0.9550246942849709,0.12608934438365255,-0.9221282892208444,2.6503833644913386
32.25,1.9668131522856527,-0.10619811027721843,0.996975395571884,-0.9544710395569342,0.12761761867257504,-0.9105012009068679,2.6785535047746403
32.5,1.9633710686162038,-0.10353520478739209,0.99778829808703,-0.9539110204702754,0.12900858597520473,-0.8987535002962689,2.70572791042539
32.75,1.9599386813182798,-0.10085406196565383,0.9985968418428695,-0.9533452272626295,0.13026627674492317,-0.8868892705568533,2.7320282422022535
33.0,1.956515896481318,-0.09815498606013706,0.999400735879952,-0.9527742327535189,0.13139464469146994,-0.8749120562543177,2.7575797163684688
33.25,1.9531026188899658,-0.09543827801544352,1.000199699740871,-0.9521985926779524,0.13239756737847969,-0.8628248478384327,2.7825111046919244
33.5,1.9496987520929596,-0.09270423549742046,1.0009934632515582,-0.9516188460173262,0.1332788468609034,-0.8506300661292283,2.806954734445018
33.75,1.946304198470207,-0.08995315291857042,1.0017817663025517,-0.9510355153274603,0.1340422103594007,-0.8383295468031784,2.831046488404873
34.0,1.9429188592980862,-0.08718532146402386,1.0025643586305752,-0.950449107063615,0.13469131096910714,-0.8259245248793841,2.8549258048532513
34.25,1.9395426348130207,-0.08440102911805253,1.0033409996007132,-0.9498601119023411,0.1352297283997367,-0.8134156192057592,2.87873567757641
34.5,1.9361754242733396,-0.08160056069106292,1.0041114579894712,-0.9492690050600384,0.13566096974423283,-0.8008028169452149,2.902622655865307
34.75,1.9328171260194704,-0.07878419784704871,1.004875511768972,-0.9486762466080985,0.13598847027389424,-0.7880854580618433,2.9267368445154873
35.0,1.929467637532495,-0.07595221913144579,1.005632947892526,-0.9480822817845235,0.1362155942572279,-0.7752622198071026,2.951231903827119
35.25,1.9261268554910957,-0.07310489999936376,1.0063835620817925,-0.9474875413019238,0.1363456358004551,-0.7623311012060013,2.9762650496049945
35.5,1.9227946758269314,-0.07024251284415978,1.0071271586157369,-0.946892441651802,0.13638181970736815,-0.7492894075432829,3.001997053158506
35.75,1.9194709937784733,-0.06736532702630865,1.0078635501215585,-0.9462973854050464,0.13632730235659074,-0.7361337348496098,3.028592241301681
36.0,1.916155703943327,-0.0644736089025546,1.0085925573677654,-0.9457027615085598,0.13618517259430904,-0.7228599543877484,3.0562184963531474
36.25,1.912848700329083,-0.06156762185529391,1.0093140090595416,-0.9451089455779627,0.13595845264043696,-0.7094631971387534,3.085047256136118
36.5,1.9095498764027161,-0.05864762632218257,1.010027741636545,-0.9445163001863136,0.13565009900671515,-0.6959378382881524,3.115253513978456
36.75,1.9062591251385737,-0.05571387982591047,1.0107335990732615,-0.9439251751488009,0.13526300342491135,-0.6822774817121298,3.1470158187126858
37.0,1.9029763390649745,-0.052766637004146355,1.0114314326820277,-0.9433359078033631,0.13479999378369723,-0.6684749444637117,3.1805162746758677
37.25,1.899701410309457,-0.049806149639605835,1.0121211009188151,-0.9427488232872042,0.13426383507245906,-0.6545222412589506,3.215940541709687
37.5,1.8964342306427007,-0.04683266669022357,1.012802469191871,-0.9421642348091785,0.13365723033094756,-0.6404105689631097,3.2534778351605027
37.75,1.893174691521155,-0.04384643431941282,1.0134754096732845,-0.9415824439180185,0.13298282160326635,-0.6261302910768466,3.2933209258792604
38.0,1.8899226841283965,-0.040847695926382765,1.0141398011135536,-0.9410037407663939,0.13224319089496428,-0.611670922222399,3.335666140221479
38.25,1.8866780994152554,-0.03783669217648905,1.0147955286592012,-0.9404284043707882,0.1314408611321637,-0.5970211126297688,3.380713360047353
38.5,1.883440828138728,-0.03481366103161099,1.0154424836734972,-0.9398567028671875,0.13057829712137534,-0.5821686326229056,3.390293043172652
38.75,1.8802107608997076,-0.031778837780518876,1.0160805635603198,-0.9392888937625805,0.1296579065092754,-0.5674352245243582,3.3645796186778414
39.0,1.8769877881795654,-0.028732455069227114,1.0167096715911927,-0.9387252241822726,0.12868204074123551,-0.5528071364771938,3.342124532556208
39.25,1.8737718003755977,-0.02567474293130989,1.0173297167355209,-0.9381659311130205,0.12765299601789373,-0.5382696859719671,3.3231428503522253
39.5,1.8705626878353787,-0.022605928818157983,1.017940613494047,-0.9376112416419988,0.12657301424857034,-0.523807244350816,3.3078531890097613
39.75,1.8673603408900359,-0.01952623762917144,1.0185422817355365,-0.9370613731916149,0.1254442840011468,-0.5094032213115598,3.2964777168721398
40.0,1.864164649886475,-0.016435891741866326,1.0191346465366993,-0.9365165337501854,0.12426894144739027,-0.4950400494117939,3.2532353456636947
