motor_time_fraction,motor_angle_deg,source16_aligned_small,source16_aligned_large,hybrid_small,hybrid_large,source16_aligned_dsmall_dt,source16_aligned_dlarge_dt,hybrid_dsmall_dt,hybrid_dlarge_dt
5.333333333333333259e-01,1.920000000000000000e+02,6.756526587302733589e-01,2.143387261998123960e-02,8.570451270962539114e-01,2.132672597717922072e-02,-5.504777719002974301e+00,-9.024885921209815365e-01,-3.755226406490725477e+00,-1.489553516001252964e+00
5.336805555555556024e-01,1.921250000000000284e+02,6.737433214321427721e-01,2.112160419922129093e-02,8.557387509981847495e-01,2.081244488233235934e-02,-5.493000224514905661e+00,-8.961756453818072732e-01,-3.769485227235877201e+00,-1.472672712201785528e+00
5.340277777777777679e-01,1.922500000000000000e+02,6.718380786394338999e-01,2.081152971768336288e-02,8.544274392594176648e-01,2.030405901117648959e-02,-5.481193367786719506e+00,-8.898515022046299405e-01,-3.783655595027717311e+00,-1.455598221455059571e+00
5.343750000000000444e-01,1.923750000000000284e+02,6.699369405473655226e-01,2.050365306301889928e-02,8.531112226985707592e-01,1.980163437246351688e-02,-5.469357148818398073e+00,-8.835161625894384363e-01,-3.797736901513473207e+00,-1.438337207243608029e+00
5.347222222222222099e-01,1.925000000000000000e+02,6.680399173511613053e-01,2.019797812288015929e-02,8.517901323444709849e-01,1.930523448762577754e-02,-5.457491567609944028e+00,-8.771696265362358691e-01,-3.811728544256439477e+00,-1.420896833049981822e+00
5.350694444444444864e-01,1.926250000000000284e+02,6.661470192460444695e-01,1.989450878491947489e-02,8.504641994340944589e-01,1.881492039077381495e-02,-5.445596624161366250e+00,-8.708118940450269019e-01,-3.825629926736029418e+00,-1.403284262356689016e+00
5.354166666666666519e-01,1.927500000000000000e+02,6.642582564272351275e-01,1.959324893678857094e-02,8.491334554105182120e-01,1.833075062869937710e-02,-5.433672318472653195e+00,-8.644429651158032080e-01,-3.839440458347713747e+00,-1.385506658646279199e+00
5.357638888888889284e-01,1.928750000000000000e+02,6.623736390899565007e-01,1.929420246613969617e-02,8.477979319208615028e-01,1.785278126087308515e-02,-5.421718650543807527e+00,-8.580628397485690062e-01,-3.853159554403062348e+00,-1.367571185401286638e+00
5.361111111111110938e-01,1.930000000000000000e+02,6.604931774294320324e-01,1.899737326062512013e-02,8.464576608142342362e-01,1.738106585944521054e-02,-5.409735620374838128e+00,-8.516715179433279603e-01,-3.866786636129730059e+00,-1.349485006104238272e+00
5.364583333333333703e-01,1.931250000000000000e+02,6.586168816408809468e-01,1.870276520789629707e-02,8.451126741396810527e-01,1.691565550924600814e-02,-5.397723227965725457e+00,-8.452689997000685240e-01,-3.880321130671461116e+00,-1.331255284237667924e+00
5.368055555555555358e-01,1.932500000000000000e+02,6.567447619195294628e-01,1.841038219560622163e-02,8.437630041441294138e-01,1.645659880778560513e-02,-5.385681473316495271e+00,-8.388552850188062404e-01,-3.893762471088074495e+00,-1.312889183284120076e+00
5.371527777777778123e-01,1.933750000000000000e+02,6.548768284605969159e-01,1.812022811140628215e-02,8.424086832703316929e-01,1.600394186525311291e-02,-5.373610356427128032e+00,-8.324303738995295632e-01,-3.907110096355495443e+00,-1.294393866726121667e+00
5.374999999999999778e-01,1.935000000000000000e+02,6.530130914593064162e-01,1.783230684294880714e-02,8.410497441548147046e-01,1.555772830451762449e-02,-5.361509877297629956e+00,-8.259942663422420450e-01,-3.920363451365719065e+00,-1.275776498046203189e+00
5.378472222222222543e-01,1.936250000000000000e+02,6.511535611108815180e-01,1.754662227788605228e-02,8.396862196258234601e-01,1.511799926112822497e-02,-5.349380035928009924e+00,-8.195469623469476828e-01,-3.933521986926838743e+00,-1.257044240726897799e+00
5.381944444444444198e-01,1.937500000000000000e+02,6.492982476105422229e-01,1.726317830386981181e-02,8.383181427012688092e-01,1.468479338331351962e-02,-5.337220832318250174e+00,-8.130884619136390379e-01,-3.946585159763015493e+00,-1.238204258250757528e+00
5.385416666666666963e-01,1.938750000000000000e+02,6.474471611535118631e-01,1.698197880855220956e-02,8.369455465866690869e-01,1.425814683198134598e-02,-5.325032266468359587e+00,-8.066187650423197741e-01,-3.959552432514525488e+00,-1.219263714100287554e+00
5.388888888888888618e-01,1.940000000000000000e+02,6.456003119350138819e-01,1.670302767958564000e-02,8.355684646731016407e-01,1.383809328071972274e-02,-5.312814338378347934e+00,-8.001378717329937773e-01,-3.972423273737707206e+00,-1.200229771758040354e+00
5.392361111111111382e-01,1.941250000000000000e+02,6.437577101502671706e-01,1.642632880462155734e-02,8.341869305351443664e-01,1.342466391579622172e-02,-5.300567048048190344e+00,-7.936457819856492790e-01,-3.985197157904995624e+00,-1.181109594706549526e+00
5.395833333333333037e-01,1.942500000000000000e+02,6.419193659944985031e-01,1.615188607131289381e-02,8.328009779288236825e-01,1.301788743615817263e-02,-5.288290395477916128e+00,-7.871424958003018224e-01,-3.997873565404910678e+00,-1.161910346428344454e+00
5.399305555555555802e-01,1.943750000000000000e+02,6.400852896629266597e-01,1.587970336731103424e-02,8.314106407895576201e-01,1.261779005343210969e-02,-5.275984380667503082e+00,-7.806280131769398611e-01,-4.010451982542066141e+00,-1.142639190405952743e+00
5.402777777777777457e-01,1.945000000000000000e+02,6.382554913507753058e-01,1.560978458026837656e-02,8.300159532301063514e-01,1.222439549192499975e-02,-5.263649003616960087e+00,-7.741023341155673920e-01,-4.022931901537150523e+00,-1.123303290121922204e+00
5.406250000000000222e-01,1.946250000000000000e+02,6.364299812532673295e-01,1.534213359783711227e-02,8.286169495385136141e-01,1.183772498862279039e-02,-5.251284264326294249e+00,-7.675654586161881898e-01,-4.035312820526939070e+00,-1.103909809058776226e+00
5.409722222222221877e-01,1.947500000000000000e+02,6.346087695656232874e-01,1.507675430766902344e-02,8.272136641760541309e-01,1.145779729319163116e-02,-5.238890162795492245e+00,-7.610173866787942609e-01,-4.047594243564305749e+00,-1.084465910699051960e+00
5.413194444444444642e-01,1.948750000000000000e+02,6.327918664830658457e-01,1.481365059741631546e-02,8.258061317751793640e-01,1.108462866797687955e-02,-5.226466699024555851e+00,-7.544581183033883809e-01,-4.059775680618204596e+00,-1.064978758525280567e+00
5.416666666666667407e-01,1.950000000000000284e+02,6.309792822008181146e-01,1.455282635473117460e-02,8.243943871374642685e-01,1.071823288800399787e-02,-5.214013873013491285e+00,-7.478876534899733253e-01,-4.071856647573667942e+00,-1.045455516020004971e+00
5.420138888888889062e-01,1.951250000000000000e+02,6.291710269141024270e-01,1.429428546726559113e-02,8.229784652315513815e-01,1.035862124097797037e-02,-5.201531684762296770e+00,-7.413059922385476508e-01,-4.083836666231825951e+00,-1.025903346665753668e+00
5.423611111111111827e-01,1.952500000000000284e+02,6.273671108181412270e-01,1.403803182267183113e-02,8.215584011910971318e-01,1.000580252728311415e-02,-5.189020134270978524e+00,-7.347131345491152432e-01,-4.095715264309898629e+00,-1.006329413945052265e+00
